Organization,ProjectName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Army,A/C Component Improv Prog,,,,,,,,,,,,,,,,,,,,,,,,80000,132000,148000,149000,149000,149000,150000
Army,ACFT Demo Engines,5964000,6291000,6757000,6637000,9993000,6364000,6652000,6873000,7356000,8051000,10593000,11281000,17264000,10570000,8149000,8869000,8030000,7975000,7891000,4757000,,,,,,,,,,
Army,Advanced Propulsion Research,2282000,2042000,2423000,2472000,2462000,2439000,1881000,2040000,1996000,1929000,2185000,3299000,3303000,3348000,3940000,3886000,4200000,4054000,4097000,4164000,3443000,3544000,,,,,,,,
Army,Aircraft Engine Component Improvement Program (USA),2756000,6543000,3757000,5658000,14443000,6759000,5285000,7117000,1982000,836000,461000,326000,767000,688000,8.00E+05,804000,310000,372000,349000,249000,139000,,138000,,,,,,,
Army,Alternative Concept Engine Advanced Technology,,,,,,,,,,,,,,,,,,,,,,,2808000,2507000,3828000,2038000,2174000,2211000,2211000,2211000
Army,Alternative Concept Engine Technology,,,,,,,,,,,,,,,,,,,,,,,3507000,,,,,,,
Army,Apache Product Improvement Program,,,,,,,,,,,,,,,,,,,,,,22914000,,,,,,,,
Army,Aviation Advanced Technology Initiatives,,,,,,,,,,,47287000,,,,,,,,,,,,,,,,,,,
Army,Future UAS Engine Advanced Technology,,,,,,,,,,,,,,,,,,,,,,,,2355000,,,,,,
Army,Future UAS Engine Technology,,,,,,,,,,,,,,,,,,,,,,,,2939000,3129000,,,,,
Army,Future UAS Propulsion Technology,,,,,,,,,,,,,,,,,,,,,,,,,,3414000,3544000,3575000,3575000,3574000
Army,Improved Turbine Engine Program,,,,,,,,,,,,,,,,,,49328000,49137000,111638000,167532000,173766000,197941000,232159000,260024000,228036000,205191000,133473000,111068000,69591000
Army,MQ-1C Gray Eagle MODS,,,,,,,,,,,,,,,,,,,,,,,8896000,,,,,,,
Army,Robotics and Mobile Energy,,,,,,,,,,,,,,,,,,,,,,,,22353000,20616000,21854000,22173000,24323000,24331000,24324000
Army,Veh Prop & Struct Tech,2675000,3061000,3246000,3528000,3482000,3630000,3646000,3904000,3999000,4261000,4149000,4238000,4221000,5305000,5484000,5201000,6680000,7834000,8292000,9511000,,,,,,,,,,
Army,,,,,,,,,3236000,,,,,,,,,,,,,,,,,,,,,,
Navy,Aircraft Engine Component Improvement Program (USN),35338000,42704000,35990000,36963000,34292000,28385000,47523000,50431000,65823000,57370000,56277000,57878000,63769000,50161000,60673000,51589000,59040000,59212000,73811000,89303000,91528000,102231000,96317000,106239000,101313000,111812000,118966000,111851000,112883000,114852000
Navy,AV-8B,1845000,1884000,708000,6187000,23380000,14733000,10340000,19335000,19517000,20902000,22128000,29677000,20659000,22063000,22810000,16128000,30290000,24558000,26939000,,41261000,45639000,27057000,16543000,10146000,9205000,8358000,8656000,8940000,9684000
Navy,F135,,,,,352451234.8,483343534.5,505382058.3,487585631.2,353729742.5,449537087.4,321065256.4,226723313.2,224752156.6,202421310.9,179932831.3,170347016.8,74543060.23,100526381.5,62071929.03,67692307.68,,,,,,,,,,
Navy,F136,,,,,12431626.79,128108282.7,82340084.69,108200775.1,164155811.3,203411768.3,227507714.8,190150076.6,203954948.3,37338451.3,3241343.845,,,,,,,,,,,,,,,
Navy,Propulsion (PP),,,,,,,,,,,,,,,,,,,,,,,,,32986000,14851000,826000,809000,795000,764000
