Sum of Action_Obligation_OMB23_GDP21,Column Labels,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Grand Total
GE ROLLS-ROYCE FIGHTER ENGINE TEAM [GE/ROLLS ROYCE],0.00%,0.00%,0.00%,0.00%,0.57%,0.70%,4.67%,4.99%,5.60%,4.12%,4.64%,0.98%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.23%
NORTHROP GRUMMAN,1.36%,0.77%,1.26%,0.79%,0.80%,1.01%,0.86%,0.39%,1.00%,1.13%,1.05%,-0.16%,0.21%,0.98%,1.12%,1.10%,0.50%,3.11%,0.16%,0.44%,0.18%,2.64%,0.88%
L3 COMMUNICATIONS,1.36%,0.01%,0.01%,1.52%,2.61%,2.22%,2.55%,0.05%,0.24%,0.65%,0.43%,2.42%,1.89%,0.01%,0.45%,0.22%,0.05%,0.08%,0.30%,0.13%,0.21%,0.02%,0.79%
DYNCORP INTERNATIONAL,0.01%,0.00%,0.30%,0.48%,0.00%,0.00%,0.00%,0.00%,0.00%,1.38%,2.27%,3.03%,3.10%,1.27%,0.68%,0.22%,0.09%,0.43%,0.23%,0.21%,0.10%,0.10%,0.63%
PARKER HANNIFIN,0.51%,0.62%,0.87%,0.67%,0.74%,0.73%,0.88%,0.39%,0.40%,0.38%,0.29%,0.30%,0.36%,0.37%,0.23%,0.30%,0.54%,0.72%,0.30%,0.42%,0.30%,0.34%,0.48%
GOODRICH,0.28%,0.35%,0.59%,0.36%,0.33%,0.99%,1.08%,0.15%,0.45%,0.49%,0.70%,0.50%,0.52%,0.44%,0.81%,0.57%,0.51%,0.33%,0.19%,0.08%,0.10%,0.13%,0.44%
CANADIAN COMMERCIAL CORPORATION,0.46%,0.45%,0.62%,0.67%,0.69%,0.76%,0.86%,0.41%,0.46%,0.25%,0.51%,0.63%,0.18%,0.06%,0.16%,0.15%,0.15%,0.43%,0.16%,0.12%,0.33%,0.63%,0.41%
WOODWARD GOVERNOR,0.06%,0.35%,0.53%,0.33%,0.29%,0.11%,0.37%,0.48%,0.43%,0.25%,0.17%,0.44%,0.16%,0.39%,0.42%,0.55%,0.80%,0.26%,0.22%,0.30%,0.22%,0.11%,0.32%
COMPUTER SCIENCES,0.03%,0.00%,0.00%,0.00%,0.42%,0.63%,0.68%,0.05%,0.03%,2.14%,1.86%,0.69%,-0.15%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.31%
GENERAL ATOMICS,0.00%,0.00%,0.00%,0.00%,0.13%,0.00%,0.03%,0.00%,0.60%,1.13%,0.55%,1.37%,1.58%,1.34%,0.10%,0.01%,-0.01%,-0.17%,0.08%,0.01%,0.00%,0.00%,0.31%
AAR,0.36%,0.42%,0.39%,0.33%,0.28%,0.25%,0.25%,0.21%,0.31%,0.12%,0.22%,0.23%,0.37%,0.34%,0.40%,0.52%,0.36%,0.76%,0.71%,0.05%,0.03%,0.08%,0.31%
RAYTHEON,0.67%,2.11%,1.15%,0.09%,0.21%,0.11%,0.05%,0.08%,0.14%,0.10%,0.09%,0.02%,0.22%,0.05%,0.58%,0.16%,0.06%,0.05%,0.35%,0.11%,0.20%,0.34%,0.29%
LONGBOW [LOCKHEED MARTIN/NORTHROP GRUMMAN],2.12%,2.04%,2.53%,0.06%,0.02%,0.00%,0.03%,0.02%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.28%
STANDARD AERO,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.10%,0.14%,0.14%,0.00%,0.14%,0.35%,0.23%,0.29%,1.36%,0.69%,0.58%,0.66%,1.06%,0.26%
193823408,0.00%,0.00%,0.00%,0.01%,0.08%,0.07%,0.06%,0.09%,0.18%,0.18%,0.16%,0.43%,0.70%,0.35%,0.49%,0.46%,0.53%,0.73%,0.25%,0.28%,0.25%,0.58%,0.26%
BAE SYSTEMS,0.22%,0.23%,0.15%,0.37%,0.25%,0.38%,0.30%,0.34%,0.17%,0.93%,0.26%,0.22%,0.36%,0.12%,0.27%,0.05%,0.13%,0.20%,0.10%,0.08%,0.08%,0.06%,0.24%
828118674,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.20%,1.50%,1.07%,1.26%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%
53489188,0.44%,0.26%,0.63%,0.54%,0.65%,0.45%,0.24%,0.17%,0.12%,0.15%,0.19%,0.12%,0.09%,0.15%,0.06%,0.08%,0.12%,0.21%,0.01%,0.10%,0.02%,0.05%,0.22%
M1 SUPPORT SERVICES,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.18%,0.42%,0.39%,0.44%,0.57%,0.63%,0.60%,0.74%,0.27%,0.24%,0.18%,0.15%,0.21%
KAY & ASSOCIATES,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,0.20%,0.25%,0.35%,0.43%,0.41%,0.49%,0.45%,0.50%,0.20%,0.21%,0.43%,0.46%,0.20%
67655985,0.01%,0.00%,0.00%,0.00%,0.60%,0.18%,1.09%,0.01%,0.10%,0.02%,0.03%,0.06%,0.08%,0.15%,0.38%,0.06%,0.20%,0.28%,0.06%,0.09%,0.01%,-0.01%,0.15%
AECOM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.12%,1.25%,0.00%,0.14%
UNISON INDUSTRIES LLC [SLICK AIRCRAFT PRODUCTS],0.27%,0.27%,0.27%,0.16%,0.14%,0.13%,0.16%,0.10%,0.08%,0.06%,0.13%,0.10%,0.17%,0.16%,0.18%,0.15%,0.11%,0.13%,0.09%,0.09%,0.12%,0.17%,0.14%
COLT INDUSTRIES,0.17%,0.00%,0.00%,0.76%,0.18%,0.10%,0.10%,0.14%,0.14%,0.09%,0.13%,0.10%,0.16%,0.09%,0.07%,0.09%,0.12%,0.08%,0.14%,0.13%,0.06%,0.10%,0.14%
DEFENSE SUPPORT SERVICES,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.47%,0.85%,0.34%,-0.05%,-0.08%,0.01%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%
PACIFIC ARCHITECTS & ENGINEERS,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.88%,0.60%,0.54%,0.23%,0.13%
12895066,0.01%,0.00%,0.00%,0.01%,0.01%,0.14%,0.33%,0.04%,0.01%,0.01%,0.01%,0.01%,0.02%,0.05%,0.03%,0.02%,0.26%,0.24%,0.24%,0.43%,0.27%,0.32%,0.12%
SMITHS GROUP,0.05%,0.04%,0.01%,0.17%,0.23%,0.19%,0.22%,0.15%,0.19%,0.14%,0.01%,0.04%,0.04%,0.04%,0.00%,0.00%,0.00%,0.18%,0.33%,0.08%,0.15%,0.25%,0.12%
879940666,0.41%,0.79%,0.55%,0.23%,0.25%,0.24%,0.01%,0.01%,0.01%,0.00%,0.02%,0.02%,0.06%,0.03%,-0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%
125368121,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.32%,0.52%,0.34%,0.51%,0.47%,0.11%
GENERAL DYNAMICS,1.42%,0.04%,0.03%,0.02%,0.02%,0.05%,0.06%,0.13%,0.23%,0.13%,0.06%,0.06%,0.04%,0.00%,0.01%,0.01%,0.03%,0.02%,0.02%,0.03%,0.03%,0.00%,0.10%
BELL BOEING JOINT PROJECT OFFICE [BELL/BOEING],0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.02%,0.23%,0.07%,0.02%,0.04%,0.14%,0.11%,0.27%,0.54%,0.24%,0.27%,0.11%,0.17%,0.10%
4475216,0.09%,0.10%,0.12%,0.16%,0.12%,0.16%,0.21%,0.20%,0.15%,0.09%,0.10%,0.10%,0.15%,0.11%,0.12%,0.07%,0.06%,0.04%,0.02%,0.01%,0.01%,0.08%,0.10%
JOINT VENTURE [Boeing/UTC],2.61%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%
360301837,0.00%,0.00%,0.00%,0.00%,0.00%,1.18%,0.21%,0.58%,0.00%,0.00%,0.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%
807445499,0.04%,0.02%,0.06%,0.07%,0.06%,0.20%,0.10%,0.29%,0.19%,0.07%,0.04%,0.24%,0.05%,0.06%,0.15%,0.05%,0.03%,0.05%,0.08%,0.11%,0.03%,0.06%,0.09%
BBA AVIATION PLC,0.03%,0.03%,0.03%,0.04%,0.02%,0.03%,0.05%,0.05%,0.13%,0.03%,0.06%,0.09%,0.07%,0.14%,0.06%,0.10%,0.11%,0.22%,0.11%,0.22%,0.17%,0.20%,0.09%
VSE,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.17%,0.30%,0.19%,0.13%,0.08%,0.07%,0.12%,0.07%,0.16%,0.16%,0.13%,0.13%,0.24%,0.09%
AMETEK,0.11%,0.25%,0.21%,0.15%,0.15%,0.11%,0.15%,0.12%,0.14%,0.13%,0.07%,0.07%,0.07%,0.06%,0.06%,0.03%,0.06%,0.04%,0.02%,0.01%,0.01%,0.01%,0.09%
1447762,0.18%,0.33%,0.22%,0.14%,0.09%,0.04%,0.05%,0.13%,0.04%,0.06%,0.17%,0.06%,0.14%,0.04%,0.04%,0.03%,0.02%,0.02%,0.01%,0.03%,0.00%,0.00%,0.08%
787814909,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.04%,0.15%,0.21%,0.03%,0.17%,0.14%,0.12%,0.14%,0.14%,0.13%,0.08%,0.15%,0.05%,0.08%,0.08%
122607435,0.37%,0.40%,0.52%,0.52%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%
21780689,0.04%,0.06%,0.01%,0.00%,0.00%,-0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.09%,0.15%,0.25%,0.24%,0.35%,0.23%,0.09%,0.12%,0.11%,0.08%
70458062,0.10%,0.12%,0.09%,0.10%,0.04%,0.12%,0.21%,0.07%,0.11%,0.03%,0.12%,0.05%,0.16%,0.08%,0.07%,0.03%,0.05%,0.01%,0.03%,0.05%,0.03%,0.03%,0.08%
6401970,0.05%,0.04%,0.09%,0.02%,0.18%,0.07%,0.16%,0.14%,0.14%,0.08%,0.16%,0.01%,0.10%,0.11%,0.10%,0.13%,0.11%,0.01%,0.02%,0.00%,0.00%,0.00%,0.08%
104012638,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.40%,0.54%,0.45%,0.07%
ROBERTSON FUEL SYSTEMS,0.14%,0.18%,0.56%,0.37%,0.15%,0.05%,0.02%,0.05%,0.02%,0.04%,0.03%,0.03%,0.01%,0.01%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%
801849758,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.82%,0.61%,0.00%,0.00%,0.00%,0.07%
99553455,0.33%,0.28%,0.16%,0.12%,0.06%,0.11%,0.11%,0.08%,0.05%,0.05%,0.11%,0.08%,0.03%,0.08%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%
MEGGITT CORP USA,0.00%,0.00%,0.00%,0.04%,0.04%,0.04%,0.01%,0.02%,0.00%,0.04%,0.03%,0.07%,0.06%,0.06%,0.11%,0.13%,0.13%,0.17%,0.13%,0.16%,0.01%,0.25%,0.07%
MOOG CLASS A,0.01%,0.01%,0.05%,0.07%,0.05%,0.28%,0.27%,0.06%,0.05%,0.02%,0.02%,0.04%,0.05%,0.03%,0.04%,0.09%,0.10%,0.04%,0.05%,0.04%,0.03%,0.03%,0.07%
884812025,0.04%,0.08%,0.09%,0.05%,0.03%,0.02%,0.03%,0.02%,0.04%,0.03%,0.02%,0.02%,0.06%,0.10%,0.15%,0.21%,0.15%,0.13%,0.06%,0.03%,0.03%,0.07%,0.06%
1826627,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,0.05%,0.01%,0.02%,0.01%,0.02%,0.02%,0.02%,0.01%,0.02%,0.03%,0.10%,0.16%,0.12%,0.20%,0.21%,0.21%,0.06%
TRANSDIGM,0.01%,0.03%,0.05%,0.07%,0.13%,0.06%,0.02%,0.01%,0.00%,0.00%,0.03%,0.10%,0.06%,0.04%,0.05%,0.04%,0.04%,0.04%,0.09%,0.08%,0.12%,0.17%,0.06%
6033583,0.13%,0.13%,0.29%,0.07%,0.51%,0.05%,0.12%,0.01%,0.01%,0.01%,0.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%
1288810,0.09%,0.17%,0.11%,0.10%,0.04%,0.03%,0.08%,0.07%,0.06%,0.03%,0.10%,0.09%,0.01%,0.02%,0.03%,0.04%,0.02%,0.03%,0.07%,0.03%,0.04%,0.00%,0.06%
799987615,0.00%,0.40%,0.93%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%
185050945,0.02%,0.00%,0.00%,0.02%,0.04%,0.02%,0.03%,0.05%,0.06%,0.05%,0.07%,0.07%,0.07%,0.13%,0.10%,0.12%,0.05%,0.08%,0.08%,0.06%,0.06%,0.06%,0.06%
60017282,0.06%,0.06%,0.12%,0.05%,0.02%,0.03%,0.03%,0.04%,0.05%,0.04%,0.06%,0.09%,0.09%,0.01%,0.06%,0.06%,0.11%,0.00%,0.04%,0.04%,0.05%,0.08%,0.05%
2042067,0.04%,0.05%,0.03%,0.07%,0.06%,0.06%,0.07%,0.07%,0.08%,0.13%,0.05%,0.03%,0.04%,0.03%,0.01%,0.01%,0.04%,0.08%,0.13%,0.02%,0.00%,0.00%,0.05%
TELEDYNE TECHNOLOGIES,0.30%,0.15%,0.14%,0.08%,0.09%,0.02%,0.03%,0.02%,0.04%,0.06%,0.03%,0.01%,0.03%,0.02%,0.00%,0.04%,0.04%,0.03%,0.01%,0.01%,0.01%,0.00%,0.05%
961530545,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.21%,0.05%
153637079,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.15%,0.17%,0.15%,0.31%,0.05%
IAP WORLDWIDE SERVICES,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.33%,0.32%,0.10%,0.09%,0.05%
56100274,0.03%,0.05%,0.11%,0.08%,0.02%,0.04%,0.12%,0.04%,0.05%,0.10%,0.08%,0.12%,0.05%,0.03%,0.02%,0.00%,-0.01%,0.01%,0.00%,0.06%,0.00%,0.00%,0.05%
1004332,0.07%,0.07%,0.04%,0.05%,0.02%,0.05%,0.06%,0.07%,0.04%,0.01%,0.06%,0.04%,0.05%,0.07%,0.07%,0.02%,0.08%,0.04%,0.05%,0.04%,0.03%,0.03%,0.05%
78792471,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.05%,0.04%,0.17%,0.05%,0.12%,0.18%,0.23%,-0.01%,0.05%
COLTEC INDUSTRIES,0.13%,0.16%,0.00%,0.00%,0.34%,0.00%,0.00%,0.38%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%
62875943,0.00%,0.21%,0.01%,0.03%,0.04%,0.03%,0.06%,0.00%,0.00%,0.00%,0.03%,0.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.26%,0.00%,0.00%,0.04%
942928540,0.00%,0.00%,0.00%,0.00%,0.00%,0.39%,0.00%,0.00%,0.02%,0.02%,0.03%,0.02%,0.09%,0.18%,0.01%,0.02%,0.04%,0.06%,0.02%,0.02%,0.01%,0.00%,0.04%
131733347,0.06%,0.12%,0.13%,0.06%,0.05%,0.02%,0.07%,0.07%,0.03%,0.04%,0.10%,0.04%,0.01%,0.02%,0.04%,0.00%,0.03%,0.02%,0.01%,0.01%,0.00%,0.02%,0.04%
AEROVIRONMENT,0.00%,0.00%,0.02%,0.01%,0.02%,0.00%,0.24%,0.27%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.28%,0.00%,0.00%,0.01%,0.04%
DRS,0.53%,0.03%,0.06%,0.06%,0.12%,0.03%,0.03%,0.00%,0.03%,0.04%,0.04%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%
858437221,0.04%,0.06%,0.07%,0.10%,0.10%,0.07%,0.08%,0.05%,0.06%,0.02%,0.02%,0.03%,0.01%,0.02%,0.02%,0.04%,0.04%,0.04%,0.02%,0.02%,0.01%,0.01%,0.04%
28774917,0.11%,0.04%,0.09%,0.03%,0.00%,0.04%,0.08%,0.19%,0.11%,0.07%,0.01%,0.02%,0.03%,0.04%,0.02%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%
EATONORAT,0.00%,0.00%,0.00%,0.12%,0.09%,0.10%,0.08%,0.00%,0.02%,0.02%,0.04%,0.02%,0.03%,0.06%,0.10%,0.06%,0.01%,0.01%,0.04%,0.03%,0.06%,0.02%,0.04%
SIERRA NEVADA,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.02%,0.32%,0.40%,0.16%,0.00%,0.13%,0.00%,0.00%,0.00%,0.00%,0.04%
AECOM TECHNOLOGY,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.58%,-0.03%,-0.62%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%
96277595,0.00%,0.01%,0.01%,0.06%,0.10%,0.09%,0.07%,0.04%,0.10%,0.03%,0.04%,0.05%,0.05%,0.06%,0.07%,0.05%,0.03%,0.02%,0.01%,0.01%,0.00%,0.01%,0.04%
NORTHSTAR AEROSPACE,0.03%,0.57%,0.02%,0.01%,0.10%,0.12%,0.09%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%
56933906,0.17%,0.00%,0.06%,0.13%,0.13%,0.00%,0.08%,0.14%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.04%
WHITT CORPAKER,0.14%,0.11%,0.10%,0.03%,0.03%,0.07%,0.05%,0.03%,0.04%,0.03%,0.05%,0.08%,0.06%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%
85957876,0.00%,0.00%,0.00%,0.05%,0.12%,0.25%,0.36%,0.00%,0.01%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%
103964110,0.06%,0.01%,0.00%,0.00%,0.00%,0.03%,0.10%,0.07%,0.00%,0.11%,0.15%,0.00%,0.13%,0.05%,0.03%,0.01%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.03%
ROCKWELL COLLINS,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.34%,0.01%,0.01%,0.01%,0.04%,0.01%,0.01%,0.04%,0.05%,0.08%,0.08%,0.07%,0.00%,0.00%,0.00%,0.03%
MD HELICOPTERS,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.70%,0.00%,0.01%,0.00%,0.00%,0.00%,0.03%
FINMECCANICA,0.16%,0.01%,0.00%,0.00%,0.04%,0.01%,0.02%,0.01%,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,0.01%,0.55%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%
107254757,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.01%,0.03%,0.05%,0.02%,0.02%,0.06%,0.01%,0.07%,0.03%,0.07%,0.14%,0.12%,0.04%,0.00%,0.01%,0.03%
UNIVERSITY OF DAYTON,0.02%,0.02%,0.01%,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,0.02%,0.02%,0.14%,0.07%,0.17%,0.10%,0.03%
157367301,0.02%,0.06%,0.02%,0.04%,0.06%,0.05%,0.07%,0.04%,0.01%,0.04%,0.02%,0.04%,0.06%,0.05%,0.05%,0.03%,0.03%,0.03%,0.01%,0.00%,0.00%,0.00%,0.03%
TRW [NORTHROP GRUMMAN],0.54%,0.01%,0.08%,0.05%,0.04%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%
DAIMLER,0.69%,0.08%,0.00%,0.00%,0.01%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%
72212780,0.00%,0.00%,0.00%,0.00%,0.02%,0.01%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.03%,0.03%,0.00%,0.00%,0.01%,0.00%,0.26%,0.16%,0.00%,0.00%,0.03%
797524402,0.00%,0.00%,0.00%,0.00%,0.04%,0.05%,0.11%,0.05%,0.06%,0.11%,0.01%,0.11%,0.11%,0.03%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%
24570061,0.01%,0.18%,0.08%,0.16%,0.03%,0.14%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%
600014492,0.01%,0.09%,0.12%,0.11%,0.05%,0.03%,0.02%,0.09%,0.04%,0.00%,0.02%,0.00%,0.00%,0.01%,0.01%,0.01%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%
135192990,0.00%,0.01%,0.08%,0.18%,0.01%,0.03%,0.07%,0.09%,0.00%,0.05%,0.03%,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%
MACAULAY BROWN,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.07%,0.17%,0.17%,0.09%,0.03%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%
ITT,0.38%,0.06%,0.02%,0.02%,0.02%,0.04%,0.02%,0.02%,0.02%,0.01%,0.01%,0.00%,0.02%,0.01%,0.02%,0.00%,0.01%,0.00%,0.01%,0.01%,0.00%,0.00%,0.03%
SCIENCE & ENGINEERING SERVICES,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.02%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.05%,0.04%,0.06%,0.24%,0.03%,0.04%,0.01%,0.03%
