"","AllContractor","NumberOfActions","Action_Obligation_OMB23_GDP21","MinOfFiscalYear","MaxOfFiscalYear","pos"
"3993","011788002",1,9255.71477194101,2006,2006,3993
"3994","047970459",1,9251.80390654441,2006,2006,3994
"3995","045839446",1,9235.24170453126,2010,2010,3995
"3996","112847488",5,9219.79635082575,2017,2020,3996
"3997","080468758",1,9215.64446959021,2017,2017,3997
"3998","038183836",4,9214.33316087473,2013,2015,3998
"3999","188178255",1,9169.51997635794,2005,2005,3999
"4000","080889080",1,9159.9902,2021,2021,4000
"4001","004531083",2,9149.27821040572,2005,2005,4001
"4002","046439436",2,9142.30220557995,2018,2019,4002
"4003","808813448",1,9104.5520015933,2012,2012,4003
"4004","012088340",1,9089.73852923858,2007,2007,4004
"4005","804518868",2,9081.44400158925,2012,2012,4005
"4006","801777363",1,9054.84821464971,2017,2017,4006
"4007","065684367",1,9049.09280158359,2012,2012,4007
"4008","018178301",1,9031.49182253624,2006,2006,4008
"4009","035926377",1,9010.2847508671,2005,2005,4009
"4010","061834003",1,9000,2021,2021,4010
"4011","967464061",8,8970.1537166064,2011,2013,4011
"4012","007123953",2,8946.83591011937,2010,2013,4012
"4013","130735355",1,8940.11329556606,2005,2005,4013
"4014","004033916",1,8920.99588769923,2017,2017,4014
"4015","043648547",1,8914.6865704281,2002,2002,4015
"4016","787689132",1,8867.23547587926,2006,2006,4016
"4017","961690737",1,8850.36400154881,2012,2012,4017
"4018","133436795",1,8829.10768400926,2007,2007,4018
"4019","088583760",1,8814.41661576231,2010,2010,4019
"4020","049739428",3,8804.37275014687,2020,2021,4020
"4021","786810275",5,8761.42764403566,2007,2016,4021
"4022","161175351",1,8760.33848837233,2006,2006,4022
"4023","016524550",1,8735.56221780527,2013,2013,4023
"4024","037482122",1,8701.38199105177,2014,2014,4024
"4025","009311098",4,8698.19999678167,2017,2019,4025
"4026","131480642",1,8688.63928943476,2006,2006,4026
"4027","064469331",1,8682.12118044044,2006,2006,4027
"4028","020570934",2,8677.7031187384,2018,2020,4028
"4029","615382210",3,8665.50000151646,2012,2012,4029
"4030","058327883",2,8663.79116672002,2013,2013,4030
"4031","046354601",1,8635.36755204419,2013,2013,4031
"4032","790789630",2,8625.95826065118,2013,2014,4032
"4033","017892803",2,8624.07879596922,2012,2012,4033
"4034","172795221",1,8610.0109040136,2015,2015,4034
"4035","021080387",1,8602.75052969564,2005,2005,4035
"4036","080643671",2,8600.66305976037,2017,2018,4036
"4037","077294585",1,8579.39959354065,2008,2008,4037
"4038","027716554",2,8571.53103145858,2015,2015,4038
"4039","008356305",1,8546.54451335848,2006,2006,4039
"4040","055993893",1,8525.68656457664,2006,2006,4040
"4041","933313512",1,8517.14352694942,2011,2011,4041
"4042","046542481",1,8506.13223759367,2006,2006,4042
"4043","201582889",1,8498.13484894546,2010,2010,4043
"4044","600018972",1,8494.39964140389,2006,2006,4044
"4045","146656876",2,8479.95048291881,2005,2005,4045
"4046","788355993",1,8475.25706358111,2009,2009,4046
"4047","001284959",2,8449.25883658259,2007,2007,4047
"4048","041871500",9,8449.13889705319,2012,2021,4048
"4049","004279881",1,8412.2714680754,2006,2006,4049
"4050","619660384",1,8409.41666669806,2006,2006,4050
"4051","028779833",2,8402.85133313373,2006,2007,4051
"4052","966812153",1,8372.99250604663,2011,2011,4052
"4053","103962072",1,8365.1896858737,2015,2015,4053
"4054","129193707",1,8362.78520146349,2012,2012,4054
"4055","065629354",1,8360.28330372599,2002,2002,4055
"4056","102751526",2,8355.68487181567,2008,2017,4056
"4057","110760659",1,8296.24912797642,2006,2006,4057
"4058","096849914",1,8291.03464078096,2006,2006,4058
"4059","081133982",1,8288.47841206948,2020,2020,4059
"4060","002012516",1,8285.66642896684,2020,2020,4060
"4061","001162122",1,8283.99999693492,2017,2017,4061
"4062","007282031",1,8273.79169158915,2018,2018,4062
"4063","MARTEK POWER",1,8264.03831276174,2005,2005,4063
"4064","029169682",1,8255.83685221161,2006,2006,4064
"4065","064608359",1,8231.65148723818,2005,2005,4065
"4066","150149727",3,8230.43090390722,2014,2014,4066
"4067","172103033",1,8216.72819824566,2006,2006,4067
"4068","691724061",1,8192.04042051361,2012,2012,4068
"4069","021736012",1,8185.87336767637,2009,2009,4069
"4070","004482733",2,8163.15594964584,2011,2013,4070
"4071","801800645",1,8150.42961386362,2008,2008,4071
"4072","929764967",1,8145.02899930809,2006,2006,4072
"4073","084193861",1,8142.42175571036,2006,2006,4073
"4074","054756697",1,8132.50297994409,2003,2003,4074
"4075","149726424",1,8107.50198939787,2005,2005,4075
"4076","078319392",1,8087.80000141536,2012,2012,4076
"4077","117166118",2,8050.29583777327,2020,2020,4077
"4078","840252733",2,8049.35009408446,2006,2017,4078
"4079","051794915",1,8030.31028100797,2006,2006,4079
"4080","072552045",1,8004.68749703827,2017,2017,4080
"4081","826286259",1,7997.22604969325,2008,2008,4081
"4082","612001255",2,7987.76290995627,2005,2006,4082
"4083","022561237",3,7986.7817674202,2007,2007,4083
"4084","830988486",2,7982.55321848002,2006,2007,4084
"4085","782984983",1,7975.55816545564,2006,2006,4085
"4086","077349314",1,7961.76127454185,2005,2005,4086
"4087","006945802",1,7952.18689132488,2013,2013,4087
"4088","965961860",2,7950.32713826743,2014,2014,4088
"4089","295144596",1,7929.73146591593,2010,2010,4089
"4090","045102274",1,7929.56476341694,2019,2019,4090
"4091","140644639",1,7920.01145335138,2008,2008,4091
"4092","046903720",2,7902.38542774865,2005,2005,4092
"4093","849402974",2,7897.90827964617,2016,2016,4093
"4094","071235098",1,7890.09025159742,2014,2014,4094
