"","AllContractor","NumberOfActions","Action_Obligation_OMB23_GDP21","MinOfFiscalYear","MaxOfFiscalYear","pos"
"935","082833732",42,1038703.34929469,2004,2018,935
"936","614633667",5,1035728.72849254,2004,2006,936
"937","788133387",3,1034079.23127927,2004,2005,937
"938","782160758",15,1033134.2045978,2002,2018,938
"939","SAIC",80,1032162.12010105,2005,2021,939
"940","197203912",92,1030104.677481,2002,2016,940
"941","002106946",12,1026960.63580524,2001,2020,941
"942","012630203",2,1026645.40172346,2004,2005,942
"943","062230326",33,1022946.78327517,2002,2007,943
"944","967852232",3,1020247.02378529,2012,2014,944
"945","PRECISION STANDARD",20,1019310.98562992,2000,2016,945
"946","008085888",21,1017519.16896568,2001,2006,946
"947","193051489",11,1016635.11745849,2002,2006,947
"948","185311359",61,1013529.68050032,2001,2008,948
"949","801152042",31,1012264.32843617,2002,2021,949
"950","002488989",28,1012103.55227997,2003,2021,950
"951","608435207",2,1012011.95439106,2004,2005,951
"952","050202274",41,1007502.90450368,2000,2014,952
"953","128688111",8,1004543.91497399,2006,2014,953
"954","052841202",17,1001100.39946464,2015,2021,954
"955","024952165",9,1000992.73654273,2003,2005,955
"956","066516480",38,1000642.06395504,2011,2018,956
"957","005931142",151,996606.040530447,2001,2021,957
"958","TEXAS RESEARCH",5,995566.94790392,2010,2014,958
"959","106823607",3,994601.186744437,2005,2007,959
"960","809580439",9,989276.448178833,2011,2016,960
"961","623331279",8,989170.455733993,2005,2009,961
"962","064390719",4,988732.508942258,2008,2011,962
"963","158088208",3,987816.374397201,2009,2017,963
"964","156437352",9,984689.495174805,2014,2016,964
"965","809173961",156,984292.58075344,2008,2021,965
"966","114926376",3,979709.568794073,2005,2008,966
"967","966348914",10,977302.961541782,2006,2021,967
"968","926010760",90,976959.954596971,2006,2021,968
"969","784366577",29,972516.153092569,2001,2010,969
"970","121539790",4,972177.401195185,2011,2016,970
"971","789315397",27,971960.237254049,2000,2007,971
"972","078391954",15,958088.34781062,2014,2021,972
"973","929236834",4,953080.279167535,2001,2008,973
"974","798073391",7,951181.318724017,2010,2017,974
"975","069232189",19,948179.10917924,2000,2006,975
"976","829162622",51,946216.643367364,2010,2019,976
"977","154564306",4,946188.059686775,2006,2013,977
"978","124125167",46,945280.015049815,2004,2021,978
"979","097067768",18,942232.212366529,2002,2006,979
"980","101954373",22,938966.039912751,2003,2017,980
"981","180516577",7,937565.574627504,2006,2010,981
"982","005095000",10,933736.805479988,2000,2007,982
"983","005100560",3,932821.219365026,2002,2021,983
"984","106961436",37,931607.530208452,2002,2019,984
"985","078488442",4,931170.954805562,2001,2005,985
"986","AVTRON MANUFACTURING",1,930312.215059429,2000,2000,986
"987","056918733",39,928606.673710392,2000,2021,987
"988","113068027",43,927895.905000088,2002,2021,988
"989","135485360",39,926741.767503601,2001,2006,989
"990","787636778",2,919904.966447024,2008,2009,990
"991","084190594",8,919210.25396538,2001,2006,991
"992","623374340",1,919084.919910312,2009,2009,992
"993","006301337",20,913312.941085242,2013,2019,993
"994","798640108",3,911423.592306422,2009,2010,994
"995","294100433",3,911402.783533465,2014,2016,995
"996","878050673",3,909808.645517123,2019,2019,996
"997","251922811",24,909371.18842387,2007,2021,997
"998","867630584",2,907970.894754088,2003,2005,998
"999","051194611",13,905259.423912013,2001,2016,999
"1000","807617030",3,902662.160297227,2004,2009,1000
"1001","049182140",65,897108.103788952,2000,2021,1001
"1002","011445301",40,896399.342944625,2002,2020,1002
"1003","927258277",3,894224.368239787,2010,2012,1003
"1004","211211495",1,894083.753396405,2000,2000,1004
"1005","181903931",77,893803.916941779,2004,2021,1005
"1006","194937939",5,890053.503364161,2010,2012,1006
"1007","377245878",8,888977.479605784,2018,2020,1007
"1008","080491037",5,888054.836462312,2019,2020,1008
"1009","058966458",4,884758.918670761,2005,2006,1009
"1010","001580729",8,884245.350179069,2001,2006,1010
"1011","218042950",23,883604.392941423,2001,2011,1011
"1012","160115093",5,882926.313440969,2011,2014,1012
"1013","079939646",23,879536.271022044,2001,2017,1013
"1014","007250079",39,877595.215471267,2018,2021,1014
"1015","086508335",6,874986.693242329,2011,2015,1015
"1016","126288336",2,874934.70024232,2011,2012,1016
"1017","959989054",5,874546.485842252,2011,2013,1017
"1018","153908801",5,874449.432242235,2011,2015,1018
"1019","361165777",1,871421.873001057,2008,2008,1019
"1020","938343456",14,870871.794264037,2009,2017,1020
"1021","879717692",9,869380.915142943,2000,2001,1021
"1022","006013452",12,867749.642663714,2014,2019,1022
"1023","078153202",71,865746.236514774,2002,2021,1023
"1024","066447913",16,860899.365108267,2000,2007,1024
"1025","005391065",11,855180.007227416,2000,2021,1025
"1026","793021101",21,852102.517057545,2014,2021,1026
"1027","001221530",12,851310.162147736,2008,2018,1027
"1028","557179124",30,849017.522731979,2001,2021,1028
"1029","548698927",1,847421.949801572,2000,2000,1029
"1030","082211244",47,845605.44768797,2000,2021,1030
"1031","645021460",1,845489.621702517,2000,2000,1031
"1032","006422661",6,841748.867162175,2001,2012,1032
"1033","826315426",42,837719.669193689,2006,2017,1033
"1034","072246853",13,836146.708308934,2000,2002,1034
"1035","832003045",9,835071.933046339,2015,2019,1035
"1036","078714238",4,831774.208492329,2015,2018,1036
"1037","030387286",6,828479.601506458,2000,2005,1037
"1038","060252277",44,826111.888707252,2002,2021,1038
"1039","001038256",16,825912.512401061,2001,2007,1039
"1040","964730626",3,823494.572529433,2002,2004,1040
"1041","176396984",16,823494.125396855,2009,2021,1041
"1042","001184449",33,822504.882518756,2000,2021,1042
"1043","160533928",3,822456.296525683,2006,2009,1043
"1044","079481523",93,821254.815404128,2015,2021,1044
"1045","061961132",44,821162.882642475,2002,2021,1045
"1046","039402086",61,819855.003008688,2000,2021,1046
"1047","PROGENY SYSTEMS",7,819843.841970346,2016,2021,1047
"1048","BRUTON STREET",4,817228.515735356,2006,2010,1048
"1049","879231587",3,816864.52969776,2017,2021,1049
"1050","147494025",78,813764.58949968,2001,2021,1050
"1051","128600637",6,807059.169275878,2004,2005,1051
"1052","879769354",8,806398.642109121,2001,2010,1052
"1053","146114681",74,803757.587090755,2000,2021,1053
"1054","838668846",79,803621.682877909,2001,2010,1054
"1055","125493432",1,802035.061046464,2006,2006,1055
"1056","144087863",3,799830.039300666,2003,2005,1056
"1057","946192598",74,798766.308821038,2003,2021,1057
"1058","001643787",12,797629.365153604,2008,2021,1058
"1059","004189262",15,794130.007716035,2005,2010,1059
"1060","065975815",14,792469.740043885,2000,2002,1060
"1061","191707652",23,791076.774939449,2009,2020,1061
"1062","019367569",13,790719.884662701,2002,2013,1062
"1063","095175345",33,788538.883035982,2008,2021,1063
"1064","001169465",13,786990.575687852,2002,2009,1064
"1065","AAL",1,785030.964735357,2000,2000,1065
"1066","399087147",3,783197.237222173,2006,2007,1066
"1067","066154345",3,772892.808275424,2000,2000,1067
"1068","152883476",1,772611.141764532,2018,2018,1068
"1069","040546004",7,771550.23602725,2014,2021,1069
"1070","962802307",44,769279.983116609,2011,2019,1070
"1071","176399665",14,767011.629337467,2001,2007,1071
"1072","135276199",3,765574.593598612,2010,2017,1072
"1073","028773133",12,761805.286845676,2011,2021,1073
"1074","969308311",9,759976.075952773,2015,2019,1074
"1075","004961678",42,757099.436965566,2006,2021,1075
"1076","006067615",19,754645.969952753,2000,2014,1076
"1077","170204981",46,751034.583898706,2010,2019,1077
"1078","068055490",4,750656.610277957,2005,2006,1078
"1079","007113335",12,750483.24230473,2000,2006,1079
"1080","782243096",1,749999,2021,2021,1080
"1081","794350025",3,749994,2021,2021,1081
"1082","787675669",1,747436.653943354,2005,2005,1082
"1083","157644639",24,747364.152219751,2008,2021,1083
"1084","439141599",3,735991.525858287,2002,2003,1084
"1085","037562550",91,732989.901052629,2000,2017,1085
"1086","154190086",33,732080.367279931,2001,2018,1086
"1087","077768583",9,730127.274701864,2003,2010,1087
"1088","055001960",5,729372.74573584,2004,2020,1088
"1089","008263857",4,728721.758879705,2003,2020,1089
"1090","828494968",30,728542.142153623,2011,2021,1090
"1091","WESTLAND",1,727800.540869242,2000,2000,1091
"1092","094941788",18,725518.756735668,2002,2010,1092
"1093","089822014",3,723411.374810911,2005,2008,1093
"1094","187607069",2,723109.251088804,2015,2017,1094
"1095","173709759",2,722736.826662173,2000,2000,1095
"1096","103104576",84,719948.987592175,2001,2021,1096
"1097","008318040",1,718447.746197641,2005,2005,1097
"1098","001017870",27,715551.351181946,2016,2021,1098
"1099","052535945",6,714570.411769757,2004,2019,1099
"1100","825251325",1,710784.549805278,2004,2004,1100
"1101","119155968",45,710604.795199883,2007,2021,1101
"1102","ASTRONICS",12,709813.110549448,2004,2016,1102
"1103","001140045",2,705583.415398307,2000,2001,1103
"1104","038322814",8,705359.6193007,2002,2008,1104
"1105","004479515",13,704415.542355236,2002,2017,1105
"1106","061888111",225,702140.475179282,2000,2021,1106
"1107","039278635",3,699195.517399968,2003,2007,1107
"1108","012171737",13,699062.24424163,2005,2018,1108
"1109","FATIGUE TECHNOLOGY",17,696788.908786594,2003,2021,1109
"1110","174413992",43,696198.98982486,2012,2021,1110
"1111","608561015",9,694552.839290284,2000,2008,1111
"1112","GENTEX",2,693998.570627281,2006,2021,1112
"1113","ALCOA",51,692292.712476094,2001,2018,1113
"1114","008318073",12,691446.279416666,2003,2019,1114
"1115","009361686",4,690989.022196759,2018,2020,1115
"1116","KAYDON",2,688213.201571653,2001,2003,1116
"1117","504867631",4,688116.062691849,2000,2001,1117
"1118","085500692",1,686134.290120073,2012,2012,1118
"1119","137540071",6,685487.785147335,2017,2021,1119
"1120","016586836",8,683737.06110534,2000,2004,1120
"1121","068708676",88,683556.775035375,2003,2021,1121
"1122","024429029",7,678889.49444483,2000,2010,1122
"1123","146922203",31,676543.540610561,2007,2021,1123
"1124","001201680",23,674575.075941424,2000,2010,1124
"1125","006370548",4,673843.29873838,2000,2001,1125
"1126","032341570",29,673301.721794892,2000,2014,1126
"1127","049107402",53,673280.687391031,2000,2021,1127
"1128","027193338",1,673241.419275808,2008,2008,1128
"1129","828479498",59,673178.382683769,2013,2019,1129
"1130","130455041",61,672241.617666392,2004,2006,1130
"1131","GRIFFON AEROSPACE",5,672127.01575029,2011,2021,1131
"1132","004164117",44,671887.871700079,2007,2021,1132
"1133","626596928",33,671253.187286607,2004,2021,1133
"1134","115042608",3,670735.838466528,2001,2002,1134
"1135","001886191",29,669884.097676049,2003,2008,1135
"1136","185384120",4,669410.682404178,2004,2013,1136
"1137","031637879",5,663399.813367677,2003,2006,1137
"1138","DAIMLER",11,662766.018568828,2003,2010,1138
"1139","Aerex",3,662160.467359582,2003,2004,1139
"1140","133556758",7,661074.361521211,2009,2021,1140
"1141","111659756",11,660452.836075066,2002,2010,1141
"1142","961625519",49,657244.185579118,2015,2021,1142
"1143","004286928",10,656291.941077375,2004,2012,1143
"1144","104073622",21,653992.23125582,2001,2021,1144
"1145","555422385",67,653258.822927363,2005,2021,1145
"1146","004154134",50,652143.989294722,2000,2013,1146
"1147","824737449",1,651745.718342522,2006,2006,1147
"1148","153637079",11,649679.026325034,2017,2021,1148
"1149","130923365",5,649208.97731081,2001,2002,1149
"1150","043553390",4,648665.503503241,2004,2006,1150
"1151","067741900",4,646103.036511555,2001,2004,1151
"1152","005104872",7,642851.552956415,2000,2003,1152
"1153","008302929",123,642191.567910398,2004,2020,1153
"1154","938261518",1,640989.255153793,2005,2005,1154
"1155","877135699",12,640971.697517183,2003,2007,1155
"1156","121691740",5,640404.616806263,2007,2013,1156
"1157","999058605",4,639548.219991254,2000,2005,1157
"1158","172871493",1,638573.715210189,2000,2000,1158
"1159","196557177",30,638234.54698997,2006,2019,1159
"1160","072017440",4,636602.036215579,2003,2004,1160
"1161","789317120",3,633736.900110904,2007,2013,1161
"1162","092130798",9,630050.240018885,2002,2008,1162
"1163","848505038",35,629863.727733981,2000,2021,1163
"1164","005327168",7,629444.345891993,2002,2016,1164
"1165","050671890",3,629401.053291303,2002,2002,1165
"1166","941407389",8,628240.385036538,2000,2012,1166
"1167","064466543",9,625861.464252073,2004,2021,1167
"1168","144754207",50,623970.73773905,2002,2021,1168
"1169","218256691",7,623056.958317955,2000,2002,1169
"1170","SENSOR SYSTEMS",12,618809.771525485,2003,2019,1170
"1171","616489274",17,614918.655478181,2003,2015,1171
"1172","073964496",3,614793.619715984,2009,2009,1172
"1173","807679175",3,613843,2020,2021,1173
"1174","090255352",13,611589.952584077,2004,2021,1174
"1175","962533134",24,611540.808058341,2011,2017,1175
"1176","790323521",4,610654.555597552,2002,2002,1176
"1177","095700662",20,610460.130426077,2004,2011,1177
"1178","145039207",7,609420.775417255,2020,2021,1178
"1179","BARBER COLMAN",2,609056.903889625,2000,2000,1179
"1180","002050771",4,606506.615311316,2000,2001,1180
"1181","941483695",9,606405.908542076,2000,2007,1181
"1182","826985272",3,603430.701825228,2013,2014,1182
"1183","008135626",37,602124.560285343,2001,2016,1183
"1184","556719326",4,601168.064720041,2000,2002,1184
"1185","003893448",32,600232.326447921,2002,2012,1185
"1186","002272045",8,597165.973959325,2003,2015,1186
"1187","009005224",17,595438.535954183,2002,2009,1187
"1188","001146562",53,594790.161100516,2004,2021,1188
"1189","SIERRACIN",17,594363.939775106,2001,2016,1189
"1190","640790288",3,592853.633817654,2004,2004,1190
"1191","130224855",16,592757.52475424,2005,2008,1191
"1192","002056810",16,591364.259675824,2005,2018,1192
"1193","041164062",97,590656.10631085,2002,2021,1193
"1194","155294911",49,590399.223847674,2006,2021,1194
"1195","008255168",52,590090.154466961,2001,2015,1195
"1196","038750949",10,588760.605254249,2000,2009,1196
"1197","056444656",19,586962.001791954,2000,2010,1197
"1198","018084892",6,585249.287777672,2002,2012,1198
"1199","080574704",39,584998.278068157,2018,2021,1199
"1200","002515625",14,584234.59163354,2013,2021,1200
"1201","009251042",25,583442.473835674,2003,2021,1201
"1202","827716705",6,582985.523376946,2007,2010,1202
"1203","002418481",23,579512.815939527,2000,2021,1203
"1204","044754575",3,578637.468473387,2004,2010,1204
"1205","020806118",8,575070.364125878,2014,2018,1205
"1206","009259078",7,574014.67108154,2003,2011,1206
"1207","055960418",2,571568.856703349,2007,2009,1207
"1208","131160350",5,570132.853485387,2000,2007,1208
"1209","046560702",42,568981.093365946,2007,2021,1209
"1210","063834832",43,568104.99578397,2003,2021,1210
"1211","TELEFLEX",10,566038.956620424,2003,2006,1211
"1212","836803825",4,565813.794902537,2015,2016,1212
"1213","173351925",15,565281.598075757,2006,2021,1213
"1214","848460457",33,563028.952061971,2001,2018,1214
"1215","058032616",77,562395.851338221,2002,2021,1215
"1216","038742201",9,562028.002643733,2003,2007,1216
"1217","128214178",3,561499.619442804,2000,2002,1217
"1218","831328658",19,561100.791713484,2011,2021,1218
"1219","063832679",58,560608.430963299,2000,2021,1219
"1220","016201969",2,560263.754414694,2019,2019,1220
"1221","079851343",19,559736.05031684,2016,2021,1221
"1222","001141852",29,559134.067334739,2004,2020,1222
"1223","041066382",4,558251.965444997,2000,2005,1223
"1224","961941908",15,556710.398471591,2020,2021,1224
"1225","157976742",4,554247.13487871,2020,2021,1225
"1226","008033169",34,553940.16333527,2000,2018,1226
"1227","877954644",1,553468.267143471,2000,2000,1227
"1228","030275689",5,553075.575163452,2003,2006,1228
"1229","602632432",2,553056.051842569,2003,2003,1229
"1230","809046464",8,551114.588887833,2008,2014,1230
"1231","218349934",10,550598.952227598,2002,2008,1231
"1232","038080532",3,550143.716208209,2004,2009,1232
"1233","174478495",11,548955.381557337,2002,2006,1233
"1234","058014473",1,545445.820305262,2002,2002,1234
"1235","072937121",18,545350.002446192,2000,2019,1235
"1236","120291179",3,544808.120905436,2009,2019,1236
"1237","103319211",3,542797.77659859,2008,2009,1237
"1238","005655931",21,542126.501125242,2005,2021,1238
"1239","079308478",3,540295,2021,2021,1239
"1240","030021610",13,539972.273801407,2015,2019,1240
"1241","152615712",7,539802.582012403,2007,2016,1241
"1242","804906469",2,539338.018492724,2003,2009,1242
"1243","004157780",11,539275.408001629,2006,2013,1243
"1244","942918269",6,537920.299113498,2000,2008,1244
"1245","196558506",1,537295.387152755,2003,2003,1245
"1246","606695443",6,536531.581564393,2002,2003,1246
"1247","THE MARVIN GROUP",8,529959.934302844,2000,2012,1247
"1248","199117698",28,529443.440737991,2002,2008,1248
"1249","957364771",2,528964.069692113,2013,2014,1249
"1250","784213568",16,528954.09324071,2011,2019,1250
"1251","021562004",7,528942.993966408,2000,2007,1251
"1252","232934054",8,528033.268216728,2019,2021,1252
"1253","010165512",33,527247.306432548,2001,2021,1253
"1254","012839655",695,527009.733792521,2002,2021,1254
"1255","063571962",21,526695.314130549,2000,2007,1255
"1256","555568513",4,526627.604613839,2006,2009,1256
"1257","118759695",8,526045.484909321,2001,2019,1257
"1258","801810078",24,525803.107783111,2001,2020,1258
"1259","101919470",13,525220.928154239,2003,2021,1259
"1260","081168494",42,524437.412062182,2001,2021,1260
"1261","003062809",91,521344.024087097,2013,2021,1261
"1262","SERMATECH INTERNATIONAL",48,521125.922656217,2005,2010,1262
"1263","009635863",1,520154.438794534,2000,2000,1263
"1264","783625692",3,517845.394466074,2015,2019,1264
"1265","022141637",13,517068.863236521,2010,2013,1265
"1266","028746717",7,516836.998656761,2002,2018,1266
"1267","001143007",20,510924.14546543,2001,2017,1267
"1268","002319044",5,506652.94131579,2013,2020,1268
"1269","002136877",9,506211.218193476,2002,2021,1269
"1270","028228476",14,505739.977282701,2001,2021,1270
"1271","180569485",9,503194.164697392,2002,2011,1271
"1272","052021813",2,502922.440250082,2001,2001,1272
"1273","808350172",52,502394.59424884,2013,2021,1273
"1274","877259648",24,502239.739410184,2001,2007,1274
"1275","030858971",36,499897.721717711,2003,2019,1275
"1276","428691935",6,497453.846994281,2001,2007,1276
"1277","048630230",8,496454.099496099,2001,2005,1277
"1278","043875454",22,496274.755402671,2004,2006,1278
"1279","094677127",15,495837.873881752,2002,2021,1279
"1280","037089067",2,495626.9063,2021,2021,1280
"1281","079872768",19,495051.053000583,2000,2018,1281
"1282","055621700",19,494575.918960845,2000,2007,1282
"1283","048500177",7,494381.097287638,2004,2013,1283
"1284","106696649",19,492578.740490188,2007,2012,1284
"1285","063206593",14,491708.847831813,2001,2014,1285
"1286","002042547",29,489027.950041006,2000,2015,1286
"1287","002047033",16,488255.537137474,2002,2021,1287
"1288","608560715",47,487950.243402606,2009,2014,1288
"1289","107206559",4,486916.779493149,2000,2010,1289
"1290","967695847",4,483536.043254117,2016,2017,1290
"1291","112963590",24,480116.540078124,2006,2020,1291
"1292","031837490",17,478893.264248368,2002,2013,1292
"1293","119409089",7,477603.21978186,2003,2021,1293
"1294","002835361",9,474542.213187573,2003,2017,1294
"1295","557305146",13,473817.05664622,2009,2017,1295
"1296","136210262",13,473367.782154264,2012,2017,1296
"1297","009723404",18,471222.775513445,2004,2013,1297
"1298","113691641",10,470466.260314091,2005,2019,1298
"1299","078306429",35,469605.185566812,2016,2020,1299
"1300","131618597",17,469472.378042212,2005,2019,1300
"1301","074839168",26,468370.399716578,2006,2021,1301
"1302","197035405",61,466654.933340006,2002,2021,1302
"1303","001123470",4,465507.084774578,2007,2009,1303
"1304","069799893",4,462561.147537665,2002,2003,1304
"1305","805903569",10,462096.676487069,2012,2017,1305
"1306","804783074",9,462057.340969129,2003,2009,1306
"1307","099142614",4,461777.179897188,2002,2004,1307
"1308","606541605",21,459742.687960104,2000,2006,1308
"1309","ULTRA ELECTRONICS",8,458028.888318431,2001,2012,1309
"1310","004498986",63,457387.875767219,2011,2021,1310
"1311","004954335",5,456339.956656144,2000,2000,1311
"1312","196823884",4,455466.68718067,2001,2005,1312
"1313","SMALL BUSINESS CONSOLIDATED REPORTING",133,453733.545733285,2003,2007,1313
"1314","157297060",4,452634.102968706,2001,2004,1314
"1315","058014408",1,452488.683244564,2003,2003,1315
"1316","137584350",92,451750.733287038,2007,2021,1316
"1317","053802547",23,447025.765285614,2019,2021,1317
"1318","096628409",16,444984.899817736,2013,2021,1318
"1319","006032189",46,444642.574236444,2002,2021,1319
"1320","107093320",4,444182.485123207,2000,2004,1320
"1321","018456897",5,443864.809101603,2001,2002,1321
"1322","937521474",14,443333.199023118,2002,2012,1322
"1323","047321617",14,440023.144257532,2001,2014,1323
"1324","169453243",5,439442.106083034,2013,2018,1324
"1325","107907263",4,438944.585163493,2009,2011,1325
"1326","958660193",1,437643.875239515,2000,2000,1326
"1327","001172162",16,435926.766018959,2001,2007,1327
"1328","KOMATSU",1,432956.543738216,2007,2007,1328
"1329","004277927",12,432710.078903737,2006,2016,1329
"1330","196440630",63,430491.738361565,2005,2021,1330
"1331","053254546",5,428561.491628778,2014,2018,1331
"1332","STEWART & STEVENSON",26,428332.986382094,2003,2021,1332
"1333","797033032",81,428117.067627438,2008,2021,1333
"1334","CERADYNE",2,427944.258012139,2003,2004,1334
"1335","623327749",58,425753.202653079,2004,2006,1335
"1336","008232175",32,425007.900374711,2001,2017,1336
"1337","116930690",1,424662.54855912,2019,2019,1337
"1338","188466072",47,423997.544360546,2004,2012,1338
"1339","147765338",24,423703.682000347,2011,2021,1339
"1340","008230286",20,423401.315495892,2006,2012,1340
"1341","211212494",77,423237.11681927,2013,2021,1341
"1342","007569754",32,422294.878616015,2003,2010,1342
"1343","610954026",2,421735.626462545,2000,2003,1343
"1344","612327387",8,421397.633524892,2000,2004,1344
"1345","188528801",10,421396.878830843,2010,2021,1345
"1346","070414370",1,421309.620774276,2002,2002,1346
"1347","967035168",25,419546.486189096,2012,2021,1347
"1348","615967528",3,419509.909909329,2001,2005,1348
"1349","807392019",75,417785.231340789,2012,2021,1349
"1350","008264061",19,417230.218397844,2002,2020,1350
"1351","347473431",6,416770.193387404,2003,2005,1351
"1352","009569740",11,416759.504129833,2001,2011,1352
"1353","080432467",13,416161.124675826,2017,2020,1353
"1354","877358119",25,416104.467678548,2003,2021,1354
"1355","080527066",1,416102.832681462,2020,2020,1355
"1356","079319176",77,415792.780309912,2015,2020,1356
"1357","UNICOR",10,415316.271583981,2000,2015,1357
"1358","595203217",4,414543.31512574,2000,2002,1358
"1359","161249107",30,414506.142696101,2001,2016,1359
"1360","788495232",12,413331.310268741,2005,2009,1360
"1361","315890921",5,412774.463252412,2008,2019,1361
"1362","003997889",17,412540.709829906,2002,2021,1362
"1363","078692465",6,412458.594017338,2016,2021,1363
"1364","005094180",7,412210.947153199,2001,2021,1364
"1365","615335911",2,411380.383570316,2006,2008,1365
"1366","209627116",27,410664.704438687,2006,2021,1366
"1367","002459170",7,410620.556445173,2000,2021,1367
"1368","101719102",38,410568.421173371,2005,2018,1368
"1369","119804503",6,409504.900069912,2002,2006,1369
"1370","790160006",96,406755.724521851,2006,2021,1370
"1371","782830280",14,405675.212879046,2010,2015,1371
"1372","001023720",2,405443.01868351,2000,2000,1372
"1373","086134160",29,405214.684961101,2007,2021,1373
"1374","626293570",9,405121.239496611,2003,2018,1374
"1375","002237121",39,405049.637526984,2003,2010,1375
"1376","067004580",3,403982.404497731,2015,2016,1376
"1377","028383094",12,403832.049665619,2005,2008,1377
"1378","030568369",18,403248.822605645,2004,2009,1378
"1379","051295608",5,402862.638823954,2000,2002,1379
"1380","055467856",6,402689.931354189,2011,2015,1380
"1381","099874794",8,402269.486553211,2001,2004,1381
"1382","618329536",23,401831.991269732,2003,2016,1382
"1383","031595296",27,401240.027316952,2012,2021,1383
"1384","799963137",4,400141.203778415,2002,2013,1384
"1385","106916760",5,398895.868488068,2001,2015,1385
"1386","108932005",8,398073.859366963,2005,2020,1386
"1387","792443582",1,392592.964674026,2009,2009,1387
"1388","003280955",21,392063.189422271,2000,2008,1388
"1389","788716988",3,391376.038823334,2014,2018,1389
"1390","807545538",21,391219.113075284,2017,2019,1390
"1391","DONALDSON COMPANY",7,390804.56798836,2009,2009,1391
"1392","002188035",28,390024.338854495,2011,2021,1392
"1393","130757602",5,389581.019118653,2000,2012,1393
"1394","191578434",7,389243.417117616,2005,2021,1394
"1395","277359493",49,386585.333082238,2006,2021,1395
"1396","IBM",1,386480.229186976,2013,2013,1396
"1397","059172643",14,385469.55526978,2001,2020,1397
"1398","009118886",4,385251.291287042,2002,2002,1398
"1399","800063919",20,385078.889720048,2005,2020,1399
"1400","CRITICAL SOLUTIONS INTERNATIONAL",12,384904.342708426,2009,2019,1400
"1401","001153550",2,384597.470911641,2003,2003,1401
"1402","020194556",1,384313.464410235,2000,2000,1402.5
"1403","643347487",1,384313.464410235,2000,2000,1402.5
"1404","088129580",2,383999.864623276,2000,2000,1404
"1405","876464975",2,383560.966868335,2010,2011,1405
"1406","931483556",63,382605.0821766,2003,2021,1406
"1407","112607366",216,382351.48590984,2017,2021,1407
"1408","OSHKOSH",64,381260.321571095,2004,2021,1408
"1409","181558040",23,380879.104670926,2009,2015,1409
"1410","079136895",51,380346.284467624,2015,2021,1410
"1411","096702782",1,379224.668006075,2004,2004,1411
"1412","003115771",26,378197.824949385,2003,2021,1412
"1413","066497793",2,377732.480645674,2000,2000,1413
"1414","078372376",68,377088.977204106,2015,2021,1414
"1415","005075205",9,376783.887207004,2002,2010,1415
"1416","014586911",13,376173.068541266,2005,2021,1416
"1417","096882774",17,375157.871062738,2002,2021,1417
"1418","968964627",19,374383.331453617,2002,2019,1418
"1419","801910944",9,373890.632140513,2009,2012,1419
"1420","831736348",8,373302.739410165,2013,2017,1420
"1421","001577852",11,372799.507307826,2017,2021,1421
"1422","594973390",2,372791.4688,2021,2021,1422
"1423","080511390",44,372650.360545785,2019,2021,1423
"1424","124365243",5,371289.172830797,2013,2016,1424
"1425","009012030",3,370772.257876113,2005,2006,1425
"1426","SOC",3,369994.363162239,2000,2001,1426
"1427","001159383",30,367925.693788918,2004,2014,1427
"1428","946365236",12,367295.989896614,2007,2013,1428
"1429","605311760",1,365564.484908509,2009,2009,1429
"1430","080157607",8,365467.983016514,2019,2021,1430
"1431","003108883",1,364329.164260903,2000,2000,1431
"1432","787686807",2,363988.352684998,2001,2002,1432
"1433","079455065",11,363805.87521189,2015,2020,1433
"1434","Navistar International",9,362660.794155474,2008,2012,1434
"1435","077657646",8,362588.378364915,2006,2019,1435
"1436","965738446",1,362466.520894304,2018,2018,1436
"1437","092158245",18,361120.339967847,2005,2014,1437
"1438","825545189",7,360925.642709703,2005,2011,1438
"1439","078886056",16,359726.818121174,2013,2021,1439
"1440","057246571",5,357911.630048211,2000,2003,1440
"1441","008396459",8,357107.073649095,2004,2006,1441
"1442","208934786",29,356902.686976638,2017,2021,1442
"1443","005322797",2,356737.788139406,2000,2001,1443
"1444","010500986",10,356383.982549018,2003,2006,1444
"1445","804883767",1,355117.453353816,2007,2007,1445
"1446","883400814",1,354695.937144165,2006,2006,1446
"1447","004403861",2,354676.991015678,2009,2009,1447
"1448","090253175",25,353538.373127402,2003,2020,1448
"1449","078427432",8,351759.842650259,2004,2013,1449
"1450","143214836",49,351676.969040828,2016,2021,1450
"1451","181759945",8,350813.339262235,2000,2007,1451
"1452","FLORIDA INTERNATIONAL UNIVERSI",2,350568.034978806,2000,2002,1452
"1453","197406374",6,349377.94895103,2003,2004,1453
"1454","120848411",6,349157.487578433,2000,2008,1454
"1455","055669105",14,348973.221539481,2001,2008,1455
"1456","176531846",11,348598.434189839,2002,2003,1456
"1457","084142785",15,347323.115721859,2016,2021,1457
"1458","623604196",8,346984.959612898,2010,2021,1458
"1459","008255879",9,346911.90138856,2001,2021,1459
"1460","804895308",37,346865.794278917,2006,2021,1460
"1461","606795276",20,346573.916405586,2000,2021,1461
"1462","101216679",13,346024.983272558,2003,2010,1462
"1463","792535564",8,344283.882488091,2016,2021,1463
"1464","059005405",30,344265.31183378,2003,2021,1464
"1465","612548743",7,343353.330146021,2006,2016,1465
"1466","075526871",17,343163.118165039,2007,2018,1466
