aircraft,type,engine_type,engine_number,takeoff_weight,speed,range,ceiling,climb_rate,thrust_weight_aircraft,engine,engine_company,thrust,pressure_ratio,engine_weight,thrust_weight_engine
F-104,FighterAttack,Turbojet,1,"29,027","1,528",1250,"50,000","48,000",0.54,J79,GE,17835,13.5,3850,4.63
F-105,FighterAttack,Turbojet,1,"52,546","1,372","2,210","48,500","38,500",0.74,J75-P-19W,PW,17500,12.5,5100,3.43
F-106,FighterAttack,Turbojet,1,"34,510","1,525",1802,"57,000","29,000",0.71,J75-17,PW,17500,12.5,5100,3.43
F-107,FighterAttack,Turbojet,1,"41,537",1295,"2,428","53,200","39,900",0.62,YJ75-P-9,PW,17500,12.5,5100,3.43
F-111,FighterAttack,Turbofan,2,"100,000","1,650",3632,"57,000","25,890",0.61,TF30-P-100,PW,25100,19.8,3985,6.3
F-117,FighterAttack,Turbofan,2,"100,000",617,1070,"45,000","2,820",0.4,F404-F1D2,GE,17700,26,2282,7.76
F-22A,FighterAttack,Turbofan,2,"60,000","1,500","1,850","50,000",68897,1.08,F119-PW-100,PW,35000,30,3900,8.97
FH-1,FighterAttack,Turbojet,2,"12,035",479,695,"41,100","4,230",0.32,Westinghouse J30,Westinghouse,1430.92,3,830,1.724
F-35A,FighterAttack,Turbofan,1,"70,000","1,200","1,200","50,000","50,000",0.87,F135-PW-100,PW,43000,28,3750,11.47
MiG-15,FighterAttack,Turbojet,1,13458,669,1362,15500,10080,0.54,Klimov VK-1,Klimov,5955,5.35,1922,3.1
N-156,FighterAttack,Turbojet,2,"24,722","1,060",870,"51,800","34,400",0.52,J85-GE-21B,GE,3100,8.3,421,7.36
NA-37,FighterAttack,Turbojet,2,"14,000",507,920,"41,765","6,990",0.47,J85-GE-17A,GE,3100,8.3,421,7.36
S-2,FighterAttack,Radial,2,"26,147",280,"1,350","22,000","50,000",NA,,,,,,
TF-15,FighterAttack,Turbofan,2,"68,000",1918,2400,"50,000","50,000",1.07,F100-PW-220,PW,23770,25,3234,7.35
XF-4,FighterAttack,Turbojet,2,"36,831","1,473",2597,"60,000","41,300",0.86,J79-GE-17A,GE,17835,13.5,3850,4.63
YA-37,FighterAttack,Turbojet,2,"14,000",507,920,"41,765","6,990",0.47,J85-GE-17A,GE,3100,8.3,421,7.36
YAT-28,FighterAttack,Radial,1,8500,343,1060,39000,4000,NA,,,,,,
YF-4,FighterAttack,Turbojet,2,"36,831","1,473",2597,"60,000","41,300",0.86,J79-GE-17A,GE,17835,13.5,3850,4.63
YF-5,FighterAttack,Turbojet,2,"24,722","1,060",870,"51,800","34,400",0.52,J85-GE-21B,GE,3100,8.3,421,7.36
YF-15,FighterAttack,Turbofan,2,"68,000",1918,2400,"50,000","50,000",1.07,F100-PW-220,PW,23770,25,3234,7.35
YF-16/17,FighterAttack,Turbofan,1,"42,300","1,535",2622,"50,000","50,000",1.095,F110-GE-100,GE,27000,30,3895,6.93
YF-84,FighterAttack,Turbojet,1,"23,340",622,"1,485","43,240","3,765",0.31,J35-A-29,Allison,7400,5,2930,2.53
YF-117,FighterAttack,Turbofan,2,"100,000",617,1070,"45,000","2,820",0.4,F404-F1D2,GE,17700,26,2282,7.76
B-1,Bomber,Turbofan,4,,,,,,,,,,,,
B-2,Bomber,Turbofan,4,,,,,,,,,,,,
B-17,Bomber,Radial,4,,,,,,,,,,,,
B-25,Bomber,Radial,2,,,,,,,,,,,,
B-26,Bomber,Radial,2,,,,,,,,,,,,
B-29,Bomber,Radial,4,,,,,,,,,,,,
B-36,Recon,Turbojet,4,,,,,,,,,,,,
B-36,Recon,Radial,6,,,,,,,,,,,,
B-45,Bomber,Turbojet,4,,,,,,,,,,,,
B-47,Bomber,Turbojet,6,,,,,,,,,,,,
B-50,Bomber,Radial,4,,,,,,,,,,,,
B-52,Bomber,Turbofan,8,,,,,,,,,,,,
B-57,Bomber,Turbojet,2,,,,,,,,,,,,
B-58,Bomber,Turbojet,4,,,,,,,,,,,,
B-66,Bomber,Turbojet,2,,,,,,,,,,,,
FB-111,Bomber,Turbofan,2,,,,,,,,,,,,
JD-1,Bomber,Radial,2,,,,,,,,,,,,
P2V-5,Bomber,Turbojet,6,,,,,,,,,,,,
XB-70,Bomber,Turbojet,6,,,,,,,,,,,,
B-57,Recon,Turbojet,2,,,,,,,,,,,,
C-121,Recon,Radial,4,,,,,,,,,,,,
C-130,Recon,Turboprop,4,,,,,,,,,,,,
C-135,Recon,Turbofan,4,,,,,,,,,,,,
DC-130,Recon,Turboprop,4,,,,,,,,,,,,
E-3,Recon,Turbofan,4,,,,,,,,,,,,
E-4,Recon,Turbofan,4,,,,,,,,,,,,
E-8,Recon,Turbofan,4,,,,,,,,,,,,
E-9,Recon,Turboprop,2,,,,,,,,,,,,
E-11,Recon,Turbofan,2,,,,,,,,,,,,
E-47,Recon,Turbojet,6,,,,,,,,,,,,
EA-1,Recon,Radial,1,,,,,,,,,,,,
EB-47,Recon,Turbojet,6,,,,,,,,,,,,
EB-57,Recon,Turbojet,2,,,,,,,,,,,,
EB-66,Recon,Turbojet,2,,,,,,,,,,,,
EC-18,Recon,Turbofan,4,,,,,,,,,,,,
EC-47,Recon,Turbojet,6,,,,,,,,,,,,
EC-54,Recon,Radial,4,,,,,,,,,,,,
EC-121,Recon,Radial,4,,,,,,,,,,,,
EC-130,Recon,Turboprop,4,,,,,,,,,,,,
EC-135,Recon,Turbofan,4,,,,,,,,,,,,
EF-111,Recon,Turbofan,2,,,,,,,,,,,,
ER-47,Recon,Turbojet,2,,,,,,,,,,,,
ET-29,Recon,Radial,2,,,,,,,,,,,,
JRB-57,Recon,Turbojet,2,,,,,,,,,,,,
MC-12,Recon,Turboprop,2,,,,,,,,,,,,
MC/WC-130,Recon,Turboprop,4,,,,,,,,,,,,
MC-130,Recon,Turboprop,4,,,,,,,,,,,,
MQ-9,Recon,Turboprop,1,,,,,,,,,,,,
OC/WC-135,Recon,Turbofan,4,,,,,,,,,,,,
OV-10,Recon,Turboprop,2,,,,,,,,,,,,
R-47,Recon,Radial,2,,,,,,,,,,,,
RB-17,Recon,Radial,4,,,,,,,,,,,,
RB-25,Recon,Radial,2,,,,,,,,,,,,
RB-26,Recon,Radial,2,,,,,,,,,,,,
RB-29,Recon,Radial,4,,,,,,,,,,,,
RB-36,Recon,Turbojet,4,,,,,,,,,,,,
RB-37,Recon,Radial,6,,,,,,,,,,,,
RB-45,Recon,Turbojet,4,,,,,,,,,,,,
RB-47,Recon,Turbojet,6,,,,,,,,,,,,
RB-50,Recon,Radial,4,,,,,,,,,,,,
RB-52,Recon,Turbofan,8,,,,,,,,,,,,
RB-57,Recon,Turbojet,2,,,,,,,,,,,,
RB-66,Recon,Turbojet,2,,,,,,,,,,,,
RC-45,Recon,Turbojet,4,,,,,,,,,,,,
RC-47,Recon,Turbojet,6,,,,,,,,,,,,
RC-54,Recon,Radial,4,,,,,,,,,,,,
RC-121,Recon,Radial,4,,,,,,,,,,,,
RC-130,Recon,Turboprop,4,,,,,,,,,,,,
RC-135,Recon,Turbofan,4,,,,,,,,,,,,
RF-4,Recon,Turbojet,2,,,,,,,,,,,,
RF-51,Recon,Radial,1,,,,,,,,,,,,
RF-80,Recon,Turbojet,1,,,,,,,,,,,,
RF-84,Recon,Turbojet,1,,,,,,,,,,,,
RF-86,Recon,Turbojet,1,,,,,,,,,,,,
RF-101,Recon,Turbojet,2,,,,,,,,,,,,
RF-104,Recon,Turbojet,1,,,,,,,,,,,,
RF-111,Recon,Turbofan,2,,,,,,,,,,,,
M/RQ-1,Recon,Turboprop,1,,,,,,,,,,,,
RQ-4,Recon,Turbofan,1,,,,,,,,,,,,
RT-33,Recon,Radial,1,,,,,,,,,,,,
SR-71,Recon,Turbojet,2,,,,,,,,,,,,
TC-130,Recon,Turboprop,4,,,,,,,,,,,,
TC-135,Recon,Turbofan,4,,,,,,,,,,,,
TE-8,Recon,Turbofan,4,,,,,,,,,,,,
TR-1,Recon,Turbofan,1,,,,,,,,,,,,
TU-2,Recon,Radial,2,,,,,,,,,,,,
U-2,Recon,Turbofan,1,,,,,,,,,,,,
WB-26,Recon,Radial,2,,,,,,,,,,,,
WB-29,Recon,Radial,4,,,,,,,,,,,,
WB-47,Recon,Turbojet,6,,,,,,,,,,,,
WB-50,Recon,Radial,4,,,,,,,,,,,,
WB-57,Recon,Turbojet,2,,,,,,,,,,,,
WB-66,Recon,Turbojet,2,,,,,,,,,,,,
WC-130,Recon,Turboprop,4,,,,,,,,,,,,
OC-135,Recon,Turbofan,4,,,,,,,,,,,,
WC-135,Recon,Turbofan,4,,,,,,,,,,,,
WT-33,Recon,Radial,1,,,,,,,,,,,,
YRB-58,Recon,Turbojet,4,,,,,,,,,,,,
YRF-4,Recon,Turbojet,2,,,,,,,,,,,,
KB-29,Tanker,Radial,4,,,,,,,,,,,,
KB-50,Tanker,Radial,4,,,,,,,,,,,,
KC-10,Tanker,Turbofan,3,,,,,,,,,,,,
KC-97,Tanker,Turbojet,2,,,,,,,,,,,,
KC-97,Tanker,Radial,4,,,,,,,,,,,,
KC-119,Tanker,Radial,2,,,,,,,,,,,,
KC-135,Tanker,Turbofan,4,,,,,,,,,,,,
NKC-135,Tanker,Turbofan,4,,,,,,,,,,,,
HC-130,Tanker,Turboprop,4,,,,,,,,,,,,
YKB-29J,Tanker,Radial,4,,,,,,,,,,,,
319A,Transport,Turbofan,2,,,,,,,,,,,,
AMST,Transport,Turbofan,4,,,,,,,,,,,,
C/AC/VC-47,Transport,Radial,2,,,,,,,,,,,,
C-5,Transport,Turbofan,4,,,,,,,,,,,,
C-6,Transport,Turboprop,2,,,,,,,,,,,,
C-7,Transport,Radial,2,,,,,,,,,,,,
C-8,Transport,Turboprop,2,,,,,,,,,,,,
C-9,Transport,Turbofan,2,,,,,,,,,,,,
C-12,Transport,Turboprop,2,,,,,,,,,,,,
C-17,Transport,Turbofan,4,,,,,,,,,,,,
C-18,Transport,Turbofan,4,,,,,,,,,,,,
C-20,Transport,Turbofan,2,,,,,,,,,,,,
C-21,Transport,Turbofan,2,,,,,,,,,,,,
C-22,Transport,Turbofan,3,,,,,,,,,,,,
C-23,Transport,Turboprop,2,,,,,,,,,,,,
C-26,Transport,Turboprop,2,,,,,,,,,,,,
C-27,Transport,Turboprop,2,,,,,,,,,,,,
C-32,Transport,Turbofan,2,,,,,,,,,,,,
C-37,Transport,Turbofan,2,,,,,,,,,,,,
C-38,Transport,Turbofan,2,,,,,,,,,,,,
C-40,Transport,Turbofan,2,,,,,,,,,,,,
C-41,Transport,Turboprop,2,,,,,,,,,,,,
C-45,Transport,Radial,2,,,,,,,,,,,,
C-46,Transport,Radial,2,,,,,,,,,,,,
C-47,Transport,Radial,2,,,,,,,,,,,,
C-53,Transport,Radial,2,,,,,,,,,,,,
C-54,Transport,Radial,4,,,,,,,,,,,,
C-64,Transport,Radial,1,,,,,,,,,,,,
C-74,Transport,Radial,4,,,,,,,,,,,,
C-82,Transport,Radial,2,,,,,,,,,,,,
C-97,Transport,Radial,4,,,,,,,,,,,,
C-99,Transport,Radial,6,,,,,,,,,,,,
C-117,Transport,Radial,2,,,,,,,,,,,,
C-118,Transport,Radial,4,,,,,,,,,,,,
C-119,Transport,Radial,2,,,,,,,,,,,,
C-121,Transport,Radial,4,,,,,,,,,,,,
C-122,Transport,Radial,2,,,,,,,,,,,,
C-123,Transport,Radial,2,,,,,,,,,,,,
C-123,Transport,Turbojet,2,,,,,,,,,,,,
C-124,Transport,Radial,4,,,,,,,,,,,,
C-125,Transport,Radial,3,,,,,,,,,,,,
C-129,Transport,Radial,2,,,,,,,,,,,,
C-130,Transport,Turboprop,4,,,,,,,,,,,,
C-131,Transport,Radial,2,,,,,,,,,,,,
C-133,Transport,Turboprop,4,,,,,,,,,,,,
C-134,Transport,Radial,2,,,,,,,,,,,,
C-135,Transport,Turbofan,4,,,,,,,,,,,,
C-137,Transport,Turbofan,4,,,,,,,,,,,,
C-140,Transport,Turbofan,4,,,,,,,,,,,,
C-141,Transport,Turbofan,4,,,,,,,,,,,,
CB-17,Transport,Radial,4,,,,,,,,,,,,
CB-25,Transport,Radial,2,,,,,,,,,,,,
CB-26,Transport,Radial,2,,,,,,,,,,,,
CT/T-39,Transport,Turbojet,2,,,,,,,,,,,,
CT-29,Transport,Radial,2,,,,,,,,,,,,
CV-22,Transport,Turboshaft,2,,,,,,,,,,,,
DC-130,Transport,Turboprop,4,,,,,,,,,,,,
EC-121,Transport,Radial,4,,,,,,,,,,,,
EC-137,Transport,Turbofan,4,,,,,,,,,,,,
LC-130,Transport,Turboprop,4,,,,,,,,,,,,
MC-130,Transport,Turboprop,4,,,,,,,,,,,,
NC-130,Transport,Turboprop,4,,,,,,,,,,,,
NC-135,Transport,Turbofan,4,,,,,,,,,,,,
NC-141,Transport,Turbofan,4,,,,,,,,,,,,
NT-29,Transport,Radial,1,,,,,,,,,,,,
NT/T-39,Transport,Turbojet,2,,,,,,,,,,,,
RC-130,Transport,Turboprop,4,,,,,,,,,,,,
T-39,Transport,Turbojet,2,,,,,,,,,,,,
VB-17,Transport,Radial,4,,,,,,,,,,,,
VB-25,Transport,Radial,2,,,,,,,,,,,,
VB-26,Transport,Radial,2,,,,,,,,,,,,
VC-6,Transport,Turboprop,2,,,,,,,,,,,,
VC-9,Transport,Radial,1,,,,,,,,,,,,
VC-25,Transport,Turbofan,4,,,,,,,,,,,,
VC-47,Transport,Radial,2,,,,,,,,,,,,
VC-53,Transport,Radial,2,,,,,,,,,,,,
VC-54,Transport,Radial,4,,,,,,,,,,,,
VC-97,Transport,Radial,4,,,,,,,,,,,,
VC-117,Transport,Radial,2,,,,,,,,,,,,
VC-118,Transport,Radial,4,,,,,,,,,,,,
VC-121,Transport,Radial,4,,,,,,,,,,,,
VC-123,Transport,Radial,2,,,,,,,,,,,,
VC-131,Transport,Radial,2,,,,,,,,,,,,
VC-135,Transport,Turbofan,4,,,,,,,,,,,,
VC-137,Transport,Turbofan,4,,,,,,,,,,,,
VC-140,Transport,Turbofan,4,,,,,,,,,,,,
VT-29,Transport,Radial,2,,,,,,,,,,,,
WV-2,Transport,Radial,4,,,,,,,,,,,,
XC-8,Transport,Radial,1,,,,,,,,,,,,
XC-142,Transport,Turboprop,4,,,,,,,,,,,,
H/HH/UH-1,Helicopter,,,,,,,,,,,,,,
HOK-1,Helicopter,,,,,,,,,,,,,,
HUL-1,Helicopter,,,,,,,,,,,,,,
TH-1,Helicopter,,,,,,,,,,,,,,
YAO-1,Helicopter,,,,,,,,,,,,,,
YH-1,Helicopter,,,,,,,,,,,,,,
HSS-2,Helicopter,,,,,,,,,,,,,,
YHO-2,Helicopter,,,,,,,,,,,,,,
H/HH/CH-3,Helicopter,,,,,,,,,,,,,,
H-5,Helicopter,,,,,,,,,,,,,,
YOH-6,Helicopter,,,,,,,,,,,,,,
H-12,Helicopter,,,,,,,,,,,,,,
H/UH-13,Helicopter,,,,,,,,,,,,,,
OH-13,Helicopter,,,,,,,,,,,,,,
H-16,Helicopter,,,,,,,,,,,,,,
YH-16,Helicopter,,,,,,,,,,,,,,
H-18,Helicopter,,,,,,,,,,,,,,
H/HH/UH-19,Helicopter,,,,,,,,,,,,,,
H/HH/CH-21,Helicopter,,,,,,,,,,,,,,
H-23,Helicopter,,,,,,,,,,,,,,
H-24,Helicopter,,,,,,,,,,,,,,
H-32,Helicopter,,,,,,,,,,,,,,
H/HH/CH/SH/UH-34,Helicopter,,,,,,,,,,,,,,
H-37,Helicopter,,,,,,,,,,,,,,
H-39,Helicopter,,,,,,,,,,,,,,
H-40,Helicopter,,,,,,,,,,,,,,
XH-40,Helicopter,,,,,,,,,,,,,,
YH-40,Helicopter,,,,,,,,,,,,,,
YH-41,Helicopter,,,,,,,,,,,,,,
H/HH-43,Helicopter,,,,,,,,,,,,,,
CH-47,Helicopter,,,,,,,,,,,,,,
H/HH/CH-53,Helicopter,,,,,,,,,,,,,,
H/HH-60,Helicopter,,,,,,,,,,,,,,
AT-38,Trainer,,,,,,,,,,,,,,
C/T-43,Trainer,,,,,,,,,,,,,,
CT-39,Trainer,,,,,,,,,,,,,,
DT-33,Trainer,,,,,,,,,,,,,,
LT-6,Trainer,,,,,,,,,,,,,,
NT-29,Trainer,,,,,,,,,,,,,,
T-1,Trainer,,,,,,,,,,,,,,
T-3,Trainer,,,,,,,,,,,,,,
T-6,Trainer,,,,,,,,,,,,,,
T-7,Trainer,,,,,,,,,,,,,,
T-11,Trainer,,,,,,,,,,,,,,
T-28,Trainer,,,,,,,,,,,,,,
T-29,Trainer,,,,,,,,,,,,,,
T-33,Trainer,,,,,,,,,,,,,,
T-34,Trainer,,,,,,,,,,,,,,
T-35,Trainer,,,,,,,,,,,,,,
T-37,Trainer,,,,,,,,,,,,,,
T-38,Trainer,,,,,,,,,,,,,,
T-39,Trainer,,,,,,,,,,,,,,
T-41,Trainer,,,,,,,,,,,,,,
T-46,Trainer,,,,,,,,,,,,,,
T-51,Trainer,,,,,,,,,,,,,,
T-53,Trainer,,,,,,,,,,,,,,
TB-17,Trainer,,,,,,,,,,,,,,
TB-25,Trainer,,,,,,,,,,,,,,
TB-26,Trainer,,,,,,,,,,,,,,
TB-29,Trainer,,,,,,,,,,,,,,
TB-45,Trainer,,,,,,,,,,,,,,
TB-47,Trainer,,,,,,,,,,,,,,
TB-50,Trainer,,,,,,,,,,,,,,
TB-57,Trainer,,,,,,,,,,,,,,
TB-58,Trainer,,,,,,,,,,,,,,
TC-18,Trainer,,,,,,,,,,,,,,
TC-45,Trainer,,,,,,,,,,,,,,
TC-46,Trainer,,,,,,,,,,,,,,
TC-47,Trainer,,,,,,,,,,,,,,
TC-54,Trainer,,,,,,,,,,,,,,
TC-121,Trainer,,,,,,,,,,,,,,
TC-130,Trainer,,,,,,,,,,,,,,
TC-135,Trainer,,,,,,,,,,,,,,
TF-47,Trainer,,,,,,,,,,,,,,
TF-51,Trainer,,,,,,,,,,,,,,
TF-80,Trainer,,,,,,,,,,,,,,
TF-84,Trainer,,,,,,,,,,,,,,
TF-86,Trainer,,,,,,,,,,,,,,
TF-101,Trainer,,,,,,,,,,,,,,
TF-102,Trainer,,,,,,,,,,,,,,
TG-3,Trainer,,,,,,,,,,,,,,
TG-4,Trainer,,,,,,,,,,,,,,
TG-7,Trainer,,,,,,,,,,,,,,
TG-9,Trainer,,,,,,,,,,,,,,
TG-10,Trainer,,,,,,,,,,,,,,
TG-11,Trainer,,,,,,,,,,,,,,
TG-14,Trainer,,,,,,,,,,,,,,
TH-5,Trainer,,,,,,,,,,,,,,
TRF-51,Trainer,,,,,,,,,,,,,,
TV-2,Trainer,,,,,,,,,,,,,,
UV-18,Trainer,,,,,,,,,,,,,,
YAT-37,Trainer,,,,,,,,,,,,,,
