aircraft,max,relevance,generation
F-35A,96,New,Fifth
F-4,1535,Normal,Third
F-47,577,Old,Other
F-5,111,Normal,Third
F-51,1133,Old,Other
F-6,1,Normal,Other
F-8,2,Normal,Second
F-80,886,Old,First
F-82,174,Old,Other
F-84,2521,Normal,First
F-86,3898,Normal,First
F-89,916,Normal,First
F-94,633,Normal,First
FB-111,74,Normal,Other
FH-1,1,Normal,Other
H-12,5,Normal,Other
H-16,2,Normal,Other
H-18,2,Normal,Other
H-23,21,Normal,Other
H-24,1,Normal,Other
H-32,2,Normal,Other
H-37,1,Normal,Other
H-39,1,Normal,Other
H-40,1,Normal,Other
H-5,77,Old,Other
H/HH-43,167,Normal,Other
H/HH-60,105,Normal,Other
H/HH/CH-21,154,Normal,Other
H/HH/CH-3,101,Normal,Other
H/HH/CH-53,55,Normal,Other
H/HH/CH/SH/UH-34,29,Normal,Other
H/HH/UH-1,206,Normal,Other
H/HH/UH-19,247,Normal,Other
H/UH-13,97,Normal,Other
HC-130,0,Normal,Other
HOK-1,1,Normal,Other
HSS-2,3,Normal,Other
HUL-1,2,Normal,Other
JD-1,1,Normal,Other
JRB-57,1,Normal,Other
KB-29,179,Normal,Other
KB-50,127,Normal,Other
KC-10,59,Normal,Other
KC-119,1,Normal,Other
KC-135,687,Normal,Other
KC-97,789,Normal,Other
LC-130,10,Normal,Other
LT-6,38,Normal,Other
M/RQ-1,174,Normal,Other
MC-12,42,Normal,Other
MC-130,72,Normal,Other
MC/WC-130,30,Normal,Other
MiG-15,1,Normal,Other
MQ-9,195,New,Other
N-156,4,Normal,Other
NA-37,4,Normal,Other
NC-130,4,Normal,Other
NC-135,1,Normal,Other
NC-141,2,Normal,Other
NKC-135,3,Normal,Other
NT-29,1,Normal,Other
NT/T-39,77,Normal,Other
OC-135,2,Normal,Other
OC/WC-135,10,Normal,Other
OH-13,3,Normal,Other
OV-10,151,Normal,Other
P2V-5,1,Normal,Other
R-47,34,Normal,Other
RB-17,13,Normal,Other
RB-25,3,Old,Other
RB-26,124,Normal,Other
RB-29,134,Old,Other
RB-36,133,Normal,Other
RB-45,29,Normal,Other
RB-47,294,Normal,Other
RB-50,41,Normal,Other
RB-52,16,Normal,Other
RB-57,110,Normal,Other
RB-66,178,Normal,Other
RC-121,80,Normal,Other
RC-130,22,Normal,Other
RC-135,26,Normal,Other
RC-45,23,Normal,Other
RC-47,51,Normal,Other
RC-54,2,Normal,Other
RF-101,184,Normal,Other
RF-104,1,Normal,Other
RF-111,1,Normal,Other
RF-4,383,Normal,Other
RF-51,55,Normal,Other
RF-80,147,Normal,Other
RF-84,290,Normal,Other
RF-86,21,Normal,Other
RQ-4,33,Normal,Other
RT-33,1,Normal,Other
S-2,14,Normal,Other
SR-71,12,Normal,Other
T-1,180,Normal,Other
T-11,403,Old,Other
T-28,1036,Normal,Other
T-29,355,Normal,Other
T-3,112,Normal,Other
T-33,3016,Normal,Other
T-34,427,Normal,Other
T-35,3,Normal,Other
T-37,809,Normal,Other
T-38,1036,Normal,Other
T-39,138,Normal,Other
T-41,102,Normal,Other
T-46,2,Normal,Other
T-51,3,Normal,Other
T-53,25,Normal,Other
T-6,2374,Old,Other
T-7,220,Old,Other
TB-17,37,Old,Other
TB-25,931,Normal,Other
TB-26,293,Normal,Other
TB-29,150,Normal,Other
TB-45,19,Normal,Other
TB-47,109,Normal,Other
TB-50,45,Normal,Other
TB-57,37,Normal,Other
TB-58,8,Normal,Other
TC-121,6,Normal,Other
TC-130,1,Normal,Other
TC-135,3,Normal,Other
TC-18,4,Normal,Other
TC-45,94,Normal,Other
TC-46,285,Old,Other
TC-47,65,Old,Other
TC-54,8,Normal,Other
TE-8,1,Normal,Other
TF-101,9,Normal,Other
TF-102,103,Normal,Other
TF-15,15,Normal,Other
TF-47,158,Normal,Other
TF-51,152,Old,Other
TF-80,69,Old,Other
TF-84,8,Normal,Other
TF-86,39,Normal,Other
TG-10,21,Normal,Other
TG-11,2,Normal,Other
TG-14,14,Normal,Other
TG-3,4,Normal,Other
TG-4,14,Normal,Other
TG-7,10,Normal,Other
TG-9,5,Normal,Other
TH-1,27,Normal,Other
TH-5,1,Old,Other
TR-1,22,Normal,Other
TRF-51,32,Normal,Other
TU-2,5,Normal,Other
TV-2,2,Normal,Other
U-2,37,Normal,Other
UV-18,3,Normal,Other
VB-17,40,Normal,Other
VB-25,55,Old,Other
VB-26,17,Old,Other
VC-117,2,Normal,Other
VC-118,50,Normal,Other
VC-121,2,Normal,Other
VC-123,1,Normal,Other
VC-131,12,Normal,Other
VC-135,5,Normal,Other
VC-137,5,Normal,Other
VC-140,11,Normal,Other
VC-25,6,Normal,Other
VC-47,268,Normal,Other
VC-53,2,Normal,Other
VC-54,30,Normal,Other
VC-6,1,Normal,Other
VC-9,3,Normal,Other
VC-97,1,Normal,Other
VT-29,187,Normal,Other
WB-26,8,Normal,Other
WB-29,83,Normal,Other
WB-47,31,Normal,Other
WB-50,70,Normal,Other
WB-57,20,Normal,Other
WB-66,36,Normal,Other
WC-130,22,Normal,Other
WC-135,2,Normal,Other
WT-33,4,Normal,Other
WV-2,7,Normal,Other
XB-70,1,Normal,Other
XC-142,3,Normal,Other
XC-8,1,Normal,Other
XF-4,1,Normal,Other
XH-40,1,Normal,Other
YA-37,1,Normal,Other
YAO-1,1,Normal,Other
YAT-28,1,Normal,Other
YAT-37,2,Normal,Other
YF-117,3,Normal,Other
YF-15,1,Normal,Other
YF-16/17,4,Normal,Other
YF-4,3,Normal,Other
YF-5,1,Normal,Other
YF-84,1,Normal,Other
YH-1,1,Normal,Other
YH-16,1,Normal,Other
YH-40,5,Normal,Other
YH-41,1,Normal,Other
YHO-2,1,Normal,Other
YKB-29J,1,Normal,Other
YOH-6,1,Normal,Other
YRB-58,25,Normal,Other
YRF-4,3,Normal,Other
