year,A-1,A-3,A-4,A-7,A-9,A-10,A-26,A-37,AC-47,AC-119,AC-123,AC-130,AT-33,F-3,F-4,F-5,F-6,F-8,F-11,F-15,F-16,F-24,F-47,F-51,F-80,F-82,F-84,F-86,F-89,F-94,F-100,F-101,F-102,F-104,F-105,F-106,F-107,F-111,F-117,F-22A,FH-1,F-35A,MiG-15,N-156,NA-37,S-2,TF-15,XF-4,YA-37,YAT-28,YF-4,YF-5,YF-15,YF-16/17,YF-84,YF-117,B-1,B-2,B-17,B-25,B-26,B-29,B-36,B-45,B-47,B-50,B-52,B-57,B-58,B-66,FB-111,JD-1,P2V-5,XB-70,B-57,C-121,C-130,C-135,DC-130,E-3,E-4,E-8,E-9,E-11,E-47,EA-1,EB-47,EB-57,EB-66,EC-18,EC-47,EC-54,EC-121,EC-130,EC-135,EF-111,ER-47,ET-29,JRB-57,MC-12,MC/WC-130,MC-130,MQ-9,OC/WC-135,OV-10,R-47,RB-17,RB-25,RB-26,RB-29,RB-36,RB-45,RB-47,RB-50,RB-52,RB-57,RB-66,RC-45,RC-47,RC-54,RC-121,RC-130,RC-135,RF-4,RF-51,RF-80,RF-84,RF-86,RF-101,RF-104,RF-111,M/RQ-1,RQ-4,RT-33,SR-71,TC-130,TC-135,TE-8,TR-1,TU-2,U-2,WB-26,WB-29,WB-47,WB-50,WB-57,WB-66,WC-130,OC-135,WC-135,WT-33,YRB-58,YRF-4,KB-29,KB-50,KC-10,KC-97,KC-119,KC-135,NKC-135,HC-130,YKB-29J,319A,AMST,C/AC/VC-47,C-5,C-6,C-7,C-8,C-9,C-12,C-17,C-18,C-20,C-21,C-22,C-23,C-26,C-27,C-32,C-37,C-38,C-40,C-41,C-45,C-46,C-47,C-53,C-54,C-64,C-74,C-82,C-97,C-99,C-117,C-118,C-119,C-121,C-122,C-123,C-124,C-125,C-129,C-130,C-131,C-133,C-134,C-135,C-137,C-140,C-141,CB-17,CB-25,CB-26,CT/T-39,CT-29,CV-22,DC-130,EC-121,EC-137,LC-130,MC-130,NC-130,NC-135,NC-141,NT-29,NT/T-39,RC-130,T-39,VB-17,VB-25,VB-26,VC-6,VC-9,VC-25,VC-47,VC-53,VC-54,VC-97,VC-117,VC-118,VC-121,VC-123,VC-131,VC-135,VC-137,VC-140,VT-29,WV-2,XC-8,XC-142,H/HH/UH-1,HOK-1,HUL-1,TH-1,YAO-1,YH-1,HSS-2,YHO-2,H/HH/CH-3,H-5,YOH-6,H-12,H/UH-13,OH-13,H-16,YH-16,H-18,H/HH/UH-19,H/HH/CH-21,H-23,H-24,H-32,H/HH/CH/SH/UH-34,H-37,H-39,H-40,XH-40,YH-40,YH-41,H/HH-43,CH-47,H/HH/CH-53,H/HH-60,AT-38,C/T-43,CT-39,DT-33,LT-6,NT-29,T-1,T-3,T-6,T-7,T-11,T-28,T-29,T-33,T-34,T-35,T-37,T-38,T-39,T-41,T-46,T-51,T-53,TB-17,TB-25,TB-26,TB-29,TB-45,TB-47,TB-50,TB-57,TB-58,TC-18,TC-45,TC-46,TC-47,TC-54,TC-121,TC-130,TC-135,TF-47,TF-51,TF-80,TF-84,TF-86,TF-101,TF-102,TG-3,TG-4,TG-7,TG-9,TG-10,TG-11,TG-14,TH-5,TRF-51,TV-2,UV-18,YAT-37
1963,2,,,,,,,,,,,,,,24,3,,,,,,,,,,,337,314,267,,1335,445,817,159,561,310,,,,,,,,,,,,,,,,,,,,,,,,,29,,,1,712,,708,113,94,17,,,,,,,,,,,,,,,,,115,,,,5,1,21,,,,,,,,,,,,,,,,1,,,1,38,16,,110,121,,2,,59,16,,,,,132,,152,1,,,,1,,,,,,,,,,3,31,,13,,,,,4,,,105,,523,,602,,,,,,0,,,,,,,,,,,,,,,,,,,,,15,431,,219,,,,91,,20,124,656,73,,244,397,,,405,101,46,,44,,,,,,,,4,,,,,,,,,,,,,,,,2,,,,211,,25,,2,5,1,,4,,4,6,91,,,,8,,,,1,,3,,6,,,,4,,,,,160,84,,,,0,,,,1,,,150,4,,,,,,,,,,,,,,98,232,1944,9,,560,290,128,,,,,,,4,,,1,,29,4,,,1,31,8,5,,,,,,,,,,,,,,,,,,,,,
1964,19,,6,,,,,,,,,,,,129,13,,,,,,,,,,,286,253,253,,1261,422,793,183,682,298,,,,,,,,,,,,,,1,,,,,,,,,,,25,,,1,568,,705,106,91,15,,,,,,,,,,,,,,,,,84,,,,3,0,69,,,,,,,,,,,,,,,,,,,1,31,16,,95,102,,2,,9,16,5,2,,,142,,149,,,,,1,,,,,,,,,,31,12,,12,,,,,3,2,,45,,338,,677,,,,,,1,,,,,,,,,,,,,,,,,,,,,21,333,,204,,,,181,,19,104,621,71,,227,395,,,550,99,44,,43,,9,6,,,,,4,,,,,,,,,,,,,,,,2,,,,195,,26,,2,5,1,,4,,4,6,101,,,,4,,,,,,,,25,,,,4,,,,,131,70,,,,0,,,,,,,162,5,,,,,,,,,,,,,,71,217,1543,6,,580,424,146,,,,,,,8,,,1,,28,6,,,1,30,8,5,,,,,,,,,,,,,,,,,,,,,
1965,67,,,,,,,,,,,,,,402,26,,,,,,,,,,,270,116,180,,1215,418,770,218,698,290,,3,,,,,,,,,,,,,,,,,,,,,,,37,,,1,306,,702,95,88,15,,,,1,,,,,,,,,,,,,5,,,,3,0,76,,33,,,,,,,,,,,,,,,,,1,29,8,,103,63,,0,,1,16,14,57,,,139,,136,,,,,,,,,,,,,,,30,5,,0,,,,,,3,,,,205,,687,,,,,,1,,,,,,,,,,,,,,,,,,,,,13,303,,167,,,,197,,17,89,596,71,,214,392,,,619,99,41,,43,,9,26,,,,,4,,,,,,,,,,,,,,,,2,,,,185,,23,,2,5,1,,4,,4,6,113,,,,37,,,,,,,,36,,,,2,3,,,,81,54,,,,2,,,,,,,167,4,,,,,,,,,,,,,,69,203,1209,2,,601,558,145,91,,,,,,1,,,1,,27,8,,,1,18,8,6,,,,,,,,,,,,,,,,,,,,,
1966,94,,,,,,30,,27,,,,,,607,34,1,,,,,,,,,,264,91,100,,1119,376,760,216,587,282,,11,,,,,,,,,,,,,,,,,,,,,,,1,,,1,17,,666,57,87,15,,,,1,,,,,,,,,,,,,5,43,7,,3,0,80,,37,,,,,,,,,10,,,,,,,,1,13,1,,94,56,,30,,,16,18,178,,,136,,117,,,,,,,,,,,,,,,27,1,,2,11,,,,,3,,,,70,,684,,,,,,5,,,,,,,,,,,,,,,,,,,,,17,276,,118,,,,186,,17,91,424,69,,196,390,,,617,96,41,,29,,9,118,,,,,4,,,,,,1,,,,,,,,,,3,,,,141,,20,,0,4,,,6,,4,6,118,,,2,78,,,,,,,,61,,,,2,3,,,,69,42,,,,0,,,,,,,163,,,,,,,,,,,,,,,87,184,1051,1,,605,685,145,0,,,,,,1,,,1,,4,8,,,,18,6,6,,,,,,,,,,,,,,,,,,,,,
1967,72,,,,,,32,4,31,,,,24,,1006,22,,,,,,,,,,,257,78,41,,1043,380,737,201,427,278,,20,,,,,,,,14,,,,,,,,,,,,,,,0,,,1,13,1,649,68,85,1,,,,,,,,,,,,,,,,13,3,56,26,,3,0,109,,45,,,7,,,,,,10,,,,,,,,1,4,,,63,46,,51,,,22,25,270,,,133,,119,,,,,,,,,,,,,,,24,,,0,5,,,,,2,,,,56,,676,,,,,,2,,,125,,,,,,,,,,,,,,,,,,14,247,,133,,,,190,,16,52,381,66,,7,377,,,607,94,40,,19,,9,226,,,,,4,,,,,,1,,,,,,,,,,3,1,,,123,,19,,1,43,,,7,,4,6,127,,,3,115,,,17,,,,,79,,,,2,3,,,,48,39,,,,0,,,,,,,159,,4,,,,,,,,,,,,,84,171,831,1,,689,795,144,1,,,,,,1,,,,,1,8,,,,9,2,6,,,,,,,,,,,,,,,,,,,,,2
1968,161,1,,2,,,28,35,36,4,,,38,,1254,24,,,,,,,,,,,251,58,40,,971,280,709,192,340,275,,49,,,,,,,,,,,,,,,,,,,,,,,1,,,1,3,,628,61,82,2,1,,,,,,,,,,,,,,,,,57,51,,64,1,106,,54,,,9,1,,,,,10,27,,,,,,,1,1,,,60,32,,,,,16,25,306,,,137,,146,,1,,,,,,,,,,,,,24,,,2,14,,,,,2,,,,55,,667,,,,,,0,,,121,,,,,,,,,,,,,,,,,,0,218,,132,,,,146,,14,52,357,57,,160,376,,,588,91,40,,17,,9,281,,,,,3,,,,,,,,,,1,,,,,,3,1,,,110,,19,,,43,,,11,,4,6,159,,,1,112,,,27,,,,,98,,,,0,3,,,,24,37,,,,0,,,,,,,156,,8,,,,,,,,,,,,,71,138,725,1,,698,867,145,47,,,,,,,,,,,2,8,,,,6,2,,,,,,,,,,,,,,,,,,,,,,
1969,151,1,,5,,,25,79,19,52,1,7,38,,1396,16,,,,,,,,,,,246,59,11,,880,159,659,185,294,269,,128,,,,,,,,,,,,,3,1,,,,,,,,,1,,,1,2,,588,55,80,2,3,,,,,,,,,,,,,,,,,55,65,,61,1,108,,54,,,12,,,,,,10,151,,,,,,,1,1,,,60,29,,,,,17,23,327,,,143,,136,,1,,,,,,,,,,,,,24,,,5,14,,,,,,,,,54,,662,,,,,,2,,,116,,8,,,,,,,,,,,,,,,,0,197,,130,,,,116,,13,50,231,55,,139,283,,,572,92,41,,12,,9,281,,,,,3,,12,,,,,,,,,,,,,,3,1,,,98,,3,,,44,,,11,5,4,6,162,,,,105,,,27,,,,,99,,1,,0,3,,,,23,36,,,,7,,,,,,,154,,15,,,,,4,,,,,,,,91,136,686,,,788,975,144,45,,,,,,,,,,,1,8,,,,5,2,,,,,,,,,,,,,,,,,,,,,,
1970,116,1,,32,,,,197,3,48,2,7,37,,1462,12,,,,,,,,,,,255,40,,,768,153,433,140,267,264,,179,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,518,37,,2,11,,,,,,,,,,,,,,,,,47,63,,62,,74,,51,,,13,,,,,,10,131,,,,,,,1,1,,,66,3,,,,,18,24,373,,,141,,138,,,,,,,,,,,,,,,,,,2,16,,,,,,,,,77,,663,,,,,,2,12,,111,,12,,,,,,,,,,,,,,,,20,123,,102,,,,93,,7,49,151,50,,128,232,,,575,91,39,,11,,9,281,,,,,3,,12,,,,,,,,,,,,,,2,1,,,59,,20,,,44,2,,12,5,4,6,176,,,,101,,,26,,,,,99,,1,,,,,,,20,24,,,,0,,,,,,,150,,35,,,,,4,,2,,,,,,79,124,539,,,809,1026,142,40,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
1971,63,1,,128,,,,151,,24,,16,34,,1535,13,,,,,,,,,,,132,3,,,710,187,268,145,258,261,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,34,,2,73,,,,,,,,,,,,,,,,,45,48,,61,,42,,55,,,16,,,1,,,10,117,,,,,,,1,1,,,48,,,,,,18,24,382,,,27,,132,,,,,,,,,,,,,,,,,,2,22,,,,,,,,,77,,659,,,,,,,38,,108,,12,,,,,,,,,,,,,,,,20,3,,68,,,,36,,,43,74,47,,102,180,,,561,91,11,,10,,9,281,,,,,3,,12,,,,,,,,,,,,,,2,1,,,25,,11,,,50,2,,5,5,4,6,178,,,,174,,,0,,,,,101,,1,,,,,,,5,1,,,,23,,,,,,,147,,53,,,,,4,,,,,,,,89,123,510,,,808,1036,142,39,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
1972,30,1,,231,,,,158,,23,,21,32,,1414,19,,,,,,,,,,,9,2,,,529,161,241,137,250,256,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,39,,1,74,,,,,,,,,,,,,,,,,35,45,,59,,36,,52,,,16,,,0,,,10,101,,,,,,,,1,,,2,,,,,,17,25,379,,,1,,109,,,,,,,,,,,,,,,,,20,2,22,,,,,,,,,77,,660,,,,,,,57,,65,,18,,,,,,,,,,,,,,,,20,38,,57,,,,26,,,93,49,37,,65,71,,,554,191,,,9,,5,281,,,,,3,,7,,,,,,,,,,,,,,1,1,,,14,,4,,,50,0,1,11,5,4,10,181,,,,194,,,0,,,,,94,,,,,,,,,2,1,,,,23,,,,,,,147,,55,,,,,3,,,,,,,,60,120,448,,,749,1017,141,39,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
1973,,1,,326,2,2,,89,,,,23,20,,1396,33,,,,,,,,,,,,2,,,525,153,234,108,242,247,,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433,28,,0,74,,,,,,,,,,,,,,,,,42,34,,22,,36,,52,,,16,,,0,,,10,92,,,,,,,,1,,,4,,,,,,15,26,382,,,,,84,,,,,,,,,,,,,,,,,13,1,22,,,,,,,,,77,,660,,,,,,,77,,45,,20,,,,,,,,,,,,,,,,,27,,20,,,,17,,,43,28,8,,86,32,,,518,94,,,9,,4,278,,,,,3,,12,,,,,,,,,,,,,,,1,,,6,,1,,,50,2,,9,5,5,11,187,,1,,206,,,0,,,,,97,,,,,,,,,2,1,,,,29,,,,,,,33,,52,,,1,,,,,,,,,,2,97,344,,,772,980,141,45,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
