Table 6-1:  DEPARTMENT OF DEFENSE TOA BY PUBLIC LAW TITLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Dollars in Millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Law Title,,,FY 1948,FY 1949,FY 1950,FY 1951,FY 1952,FY 1953,FY 1954,FY 1955,FY 1956,FY 1957,FY 1958,FY 1959,FY 1960,FY 1961,FY 1962,FY 1963,FY 1964,FY 1965,FY 1966,FY 1967,FY 1968,FY 1969,FY 1970,FY 1971,FY 1972,FY 1973,FY 1974,FY 1975,FY 1976,FY 1977,FY 1978,FY 1979,FY 1980,FY 1981,FY 1982,FY 1983,FY 1984,FY 1985,FY 1986,FY 1987,FY 1988,FY 1989,FY 1990,FY 1991,FY 1992,FY 1993,FY 1994,FY 1995,FY 1996,FY 1997,FY 1998,FY 1999,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,"FY 2022
Enacted",FY 2023,FY 2024,FY 2025,FY 2026,FY 2027,
War Outyear Placeholder  .....................................................................................................,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,000 ","6,000 ","5,000 ","4,000 ",
,Total Current Dollars  ..............................................................., ,"11,903 ","13,204 ","14,337 ","45,173 ","57,188 ","44,283 ","30,429 ","33,790 ","38,065 ","39,724 ","41,124 ","42,193 ","40,257 ","44,643 ","48,434 ","49,420 ","49,547 ","49,560 ","64,531 ","71,590 ","74,965 ","77,752 ","75,512 ","72,846 ","76,467 ","78,925 ","81,693 ","86,132 ","95,658 ","107,567 ","116,128 ","124,721 ","141,983 ","175,549 ","210,667 ","235,493 ","255,271 ","276,173 ","278,140 ","282,718 ","287,806 ","291,540 ","291,356 ","310,620 ","285,195 ","269,655 ","251,339 ","254,215 ","255,052 ","254,186 ","259,123 ","272,729 ","286,958 ","316,540 ","355,378 ","433,024 ","456,052 ","502,476 ","536,272 ","603,872 ","669,279 ","665,861 ","691,791 ","689,092 ","652,288 ","585,393 ","581,188 ","565,403 ","587,978 ","609,287 ","672,960 ","693,001 ","725,757 ","711,039 ","760,145 ","772,383 ","800,952 ","808,952 ","821,952 ","827,952 ",
FY 2023 Constant Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Military Personnel  .............................................................................................,, ,"103,063 ","112,344 ","110,294 ","174,716 ","235,586 ","240,337 ","225,689 ","216,076 ","203,755 ","206,385 ","196,444 ","189,786 ","186,520 ","185,917 ","201,163 ","196,937 ","197,634 ","197,566 ","206,910 ","231,156 ","240,397 ","242,095 ","232,728 ","214,196 ","192,708 ","177,276 ","169,447 ","163,053 ","157,414 ","152,601 ","149,720 ","148,648 ","149,317 ","154,104 ","156,832 ","159,607 ","160,999 ","205,930 ","208,952 ","211,451 ","209,045 ","207,414 ","205,157 ","206,988 ","195,242 ","175,152 ","160,406 ","156,891 ","149,716 ","146,248 ","138,786 ","136,590 ","135,361 ","137,434 ","146,487 ","177,698 ","183,012 ","185,958 ","187,801 ","188,107 ","191,480 ","196,422 ","201,252 ","199,108 ","194,382 ","182,951 ","177,221 ","169,672 ","166,526 ","164,236 ","166,547 ","168,164 ","169,466 ","174,168 ","173,364 ","173,883 ","182,691 ","182,202 ","182,162 ","181,457 ",
"Retired Pay, Defense  .............................................................................................",, ,"3,424 ","3,756 ","4,000 ","4,080 ","4,249 ","4,508 ","5,236 ","5,392 ","5,725 ","5,877 ","6,398 ","6,764 ","7,447 ","8,493 ","9,648 ","11,020 ","12,640 ","14,218 ","15,633 ","17,341 ","19,181 ","21,246 ","23,083 ","24,785 ","26,667 ","28,389 ","30,278 ","32,226 ","34,080 ","36,098 ","37,475 ","38,799 ","40,129 ","41,549 ","42,442 ","42,840 ","42,858 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operation and Maintenance  .............................................................................................,, ,"74,410 ","78,376 ","71,421 ","154,208 ","183,445 ","154,514 ","128,154 ","120,403 ","123,786 ","124,405 ","124,445 ","121,475 ","119,062 ","117,217 ","124,610 ","121,467 ","120,806 ","123,409 ","142,326 ","169,216 ","177,941 ","180,592 ","164,676 ","147,306 ","145,312 ","140,945 ","136,779 ","138,844 ","138,945 ","143,086 ","143,426 ","146,788 ","154,069 ","164,389 ","175,365 ","183,382 ","190,099 ","203,660 ","198,757 ","201,693 ","200,686 ","200,936 ","198,658 ","224,252 ","188,631 ","194,144 ","185,663 ","190,672 ","184,610 ","177,698 ","179,372 ","187,267 ","191,683 ","211,861 ","239,575 ","277,993 ","276,198 ","290,350 ","299,674 ","330,718 ","341,933 ","356,868 ","374,893 ","382,281 ","356,637 ","311,620 ","312,182 ","295,860 ","294,593 ","300,527 ","312,110 ","314,354 ","324,853 ","302,894 ","316,023 ","308,886 ","289,794 ","288,430 ","282,543 ","280,398 ",
Procurement  .............................................................................................,, ,"35,574 ","37,011 ","46,098 ","217,169 ","293,732 ","172,251 ","69,306 ","87,927 ","114,462 ","114,264 ","128,387 ","123,127 ","103,392 ","132,462 ","146,339 ","143,021 ","129,397 ","117,914 ","170,269 ","173,731 ","159,385 ","150,963 ","125,544 ","107,127 ","106,174 ","96,292 ","83,727 ","74,361 ","81,563 ","101,594 ","102,507 ","96,731 ","98,589 ","122,511 ","154,752 ","179,060 ","188,503 ","197,411 ","185,526 ","171,008 ","162,426 ","151,628 ","147,385 ","128,551 ","109,032 ","92,611 ","74,242 ","71,950 ","71,542 ","70,247 ","72,265 ","80,617 ","86,838 ","96,991 ","95,995 ","118,071 ","120,335 ","138,955 ","145,044 ","181,456 ","218,931 ","176,714 ","175,351 ","166,881 ","149,830 ","127,707 ","122,461 ","124,522 ","140,964 ","145,178 ","167,214 ","163,817 ","154,956 ","149,380 ","150,299 ","145,939 ","153,286 ","154,625 ","164,159 ","160,324 ",
RDT&E  .....................................................................................................,, ,"5,218 ","5,273 ","6,362 ","13,316 ","19,379 ","22,595 ","23,185 ","25,589 ","31,831 ","37,261 ","35,178 ","42,424 ","44,468 ","50,758 ","50,012 ","55,417 ","55,070 ","49,257 ","50,952 ","51,720 ","50,424 ","51,659 ","47,050 ","43,011 ","43,405 ","42,935 ","39,867 ","38,088 ","37,972 ","40,116 ","40,111 ","38,684 ","38,682 ","44,032 ","50,521 ","55,179 ","62,721 ","69,210 ","73,779 ","76,244 ","75,634 ","73,503 ","67,985 ","63,816 ","67,797 ","66,495 ","59,715 ","58,376 ","58,448 ","59,859 ","60,254 ","60,998 ","60,882 ","64,523 ","74,023 ","87,075 ","93,690 ","97,997 ","100,047 ","104,386 ","104,755 ","104,827 ","103,330 ","95,787 ","90,463 ","78,772 ","76,746 ","76,548 ","83,085 ","86,307 ","104,189 ","106,764 ","114,986 ","112,664 ","122,043 ","130,097 ","131,748 ","127,034 ","121,385 ","119,176 ",
Military Construction  .............................................................................................,, ,"2,164 ","2,342 ","2,534 ","15,383 ","19,747 ","21,008 ","13,186 ","20,003 ","17,580 ","16,914 ","13,567 ","14,384 ","11,092 ","9,113 ","7,389 ","9,987 ","7,459 ","7,781 ","17,737 ","8,178 ","9,949 ","7,020 ","5,959 ","6,448 ","6,212 ","6,807 ","7,247 ","6,581 ","7,248 ","7,316 ","5,742 ","7,211 ","6,112 ","8,707 ","11,906 ","10,094 ","11,001 ","12,222 ","11,099 ","10,829 ","10,974 ","11,025 ","9,747 ","10,100 ","8,967 ","6,906 ","11,167 ","9,958 ","12,264 ","9,912 ","8,929 ","8,268 ","8,538 ","8,195 ","10,235 ","9,760 ","9,379 ","10,281 ","13,537 ","19,456 ","29,883 ","35,050 ","30,271 ","21,688 ","15,930 ","12,785 ","11,821 ","7,712 ","8,864 ","8,725 ","11,992 ","12,709 ","17,996 ","7,840 ","13,781 ","10,198 ","14,318 ","12,073 ","10,835 ","9,723 ",
Family Housing  .............................................................................................,, ,,,,,,,,380 ,211 ,36 ,327 ,318 ,243 ,799 ,"3,595 ","4,441 ","4,746 ","4,484 ","4,628 ","3,276 ","4,341 ","3,618 ","3,905 ","4,394 ","4,930 ","5,476 ","5,819 ","5,150 ","5,434 ","5,177 ","5,167 ","5,299 ","4,428 ","5,400 ","5,631 ","6,236 ","6,095 ","6,353 ","5,985 ","6,631 ","6,641 ","6,591 ","6,022 ","6,191 ","6,629 ","6,700 ","6,122 ","6,304 ","7,156 ","6,749 ","6,367 ","5,678 ","5,678 ","5,770 ","5,944 ","6,483 ","6,223 ","6,348 ","6,416 ","5,981 ","4,580 ","4,635 ","3,114 ","4,307 ","2,501 ","2,356 ","1,818 ","1,521 ","1,781 ","1,571 ","1,680 ","1,801 ","1,577 ","1,616 ","1,593 ","1,956 ","1,606 ","1,683 ","1,595 ","1,583 ",
Revolving and Management Funds  .............................................................................................,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561 ,844 ,612 ,331 ,,"1,409 ",866 ,"2,183 ","5,837 ","3,475 ","3,256 ","1,399 ","1,707 ","1,425 ",259 ,"3,401 ","6,407 ","6,930 ","4,782 ","3,023 ","3,385 ","4,135 ","3,588 ","2,786 ","5,235 ","2,415 ","3,889 ","3,712 ","6,889 ","5,212 ","7,574 ","3,837 ","7,105 ","5,676 ","5,978 ","3,991 ","4,326 ","3,017 ","3,126 ","2,701 ","2,652 ","2,709 ","2,166 ","3,260 ","3,879 ","4,088 ","2,620 ","1,423 ","1,300 ","1,293 ","1,275 ","1,261 ",
"Trust, Receipts, and Other  .....................................................................................................",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126 ,,,,,101 ,,,,2 ,63 ,,,34 ,,,,43 ,51 ,,,,"1,239 ",444 ,383 ,324 ,
War Outyear Placeholder  .....................................................................................................,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,841 ","5,737 ","4,678 ","3,662 ",
,Total Constant Dollars  ..............................................................., ,"223,853 ","239,101 ","240,710 ","578,872 ","756,139 ","615,212 ","464,756 ","475,769 ","497,351 ","505,143 ","504,747 ","498,277 ","472,224 ","504,759 ","542,757 ","542,289 ","527,751 ","514,629 ","608,454 ","654,617 ","661,619 ","657,193 ","602,945 ","547,266 ","525,407 ","498,119 ","473,165 ","458,302 ","463,217 ","486,831 ","484,759 ","482,491 ","491,325 ","542,100 ","598,314 ","638,580 ","668,112 ","698,262 ","687,354 ","679,256 ","667,113 ","652,522 ","635,213 ","643,298 ","582,705 ","548,937 ","502,097 ","497,174 ","487,120 ","474,849 ","469,560 ","482,204 ","494,215 ","527,189 ","576,274 ","680,791 ","695,726 ","735,101 ","760,094 ","834,042 ","898,668 ","880,192 ","894,188 ","874,045 ","814,132 ","719,208 ","705,375 ","678,569 ","698,466 ","709,254 ","765,898 ","770,913 ","787,764 ","752,649 ","779,723 ","772,383 ","782,823 ","773,521 ","769,014 ","757,908 ",
Percent Real Growth (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Military Personnel  .............................................................................................,, ,,9.0 ,-1.8 ,58.4 ,34.8 ,2.0 ,-6.1 ,-4.3 ,-5.7 ,1.3 ,-4.8 ,-3.4 ,-1.7 ,-0.3 ,8.2 ,-2.1 ,0.4 ,0.0 ,4.7 ,11.7 ,4.0 ,0.7 ,-3.9 ,-8.0 ,-10.0 ,-8.0 ,-4.4 ,-3.8 ,-3.5 ,-3.1 ,-1.9 ,-0.7 ,0.5 ,3.2 ,1.8 ,1.8 ,0.9 ,27.9 ,1.5 ,1.2 ,-1.1 ,-0.8 ,-1.1 ,0.9 ,-5.7 ,-10.3 ,-8.4 ,-2.2 ,-4.6 ,-2.3 ,-5.1 ,-1.6 ,-0.9 ,1.5 ,6.6 ,21.3 ,3.0 ,1.6 ,1.0 ,0.2 ,1.8 ,2.6 ,2.5 ,-1.1 ,-2.4 ,-5.9 ,-3.1 ,-4.3 ,-1.9 ,-1.4 ,1.4 ,1.0 ,0.8 ,2.8 ,-0.5 ,0.3 ,5.1 ,-0.3 ,0.0 ,-0.4 ,
"Retired Pay, Defense  .............................................................................................",, ,,9.7 ,6.5 ,2.0 ,4.1 ,6.1 ,16.1 ,3.0 ,6.2 ,2.7 ,8.9 ,5.7 ,10.1 ,14.0 ,13.6 ,14.2 ,14.7 ,12.5 ,10.0 ,10.9 ,10.6 ,10.8 ,8.6 ,7.4 ,7.6 ,6.5 ,6.7 ,6.4 ,5.8 ,5.9 ,3.8 ,3.5 ,3.4 ,3.5 ,2.1 ,0.9 ,0.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operation and Maintenance  .............................................................................................,, ,,5.3 ,-8.9 ,115.9 ,19.0 ,-15.8 ,-17.1 ,-6.0 ,2.8 ,0.5 ,0.0 ,-2.4 ,-2.0 ,-1.5 ,6.3 ,-2.5 ,-0.5 ,2.2 ,15.3 ,18.9 ,5.2 ,1.5 ,-8.8 ,-10.5 ,-1.4 ,-3.0 ,-3.0 ,1.5 ,0.1 ,3.0 ,0.2 ,2.3 ,5.0 ,6.7 ,6.7 ,4.6 ,3.7 ,7.1 ,-2.4 ,1.5 ,-0.5 ,0.1 ,-1.1 ,12.9 ,-15.9 ,2.9 ,-4.4 ,2.7 ,-3.2 ,-3.7 ,0.9 ,4.4 ,2.4 ,10.5 ,13.1 ,16.0 ,-0.6 ,5.1 ,3.2 ,10.4 ,3.4 ,4.4 ,5.1 ,2.0 ,-6.7 ,-12.6 ,0.2 ,-5.2 ,-0.4 ,2.0 ,3.9 ,0.7 ,3.3 ,-6.8 ,4.3 ,-2.3 ,-6.2 ,-0.5 ,-2.0 ,-0.8 ,
Procurement  .............................................................................................,, ,,4.0 ,24.6 ,371.1 ,35.3 ,-41.4 ,-59.8 ,26.9 ,30.2 ,-0.2 ,12.4 ,-4.1 ,-16.0 ,28.1 ,10.5 ,-2.3 ,-9.5 ,-8.9 ,44.4 ,2.0 ,-8.3 ,-5.3 ,-16.8 ,-14.7 ,-0.9 ,-9.3 ,-13.0 ,-11.2 ,9.7 ,24.6 ,0.9 ,-5.6 ,1.9 ,24.3 ,26.3 ,15.7 ,5.3 ,4.7 ,-6.0 ,-7.8 ,-5.0 ,-6.6 ,-2.8 ,-12.8 ,-15.2 ,-15.1 ,-19.8 ,-3.1 ,-0.6 ,-1.8 ,2.9 ,11.6 ,7.7 ,11.7 ,-1.0 ,23.0 ,1.9 ,15.5 ,4.4 ,25.1 ,20.7 ,-19.3 ,-0.8 ,-4.8 ,-10.2 ,-14.8 ,-4.1 ,1.7 ,13.2 ,3.0 ,15.2 ,-2.0 ,-5.4 ,-3.6 ,0.6 ,-2.9 ,5.0 ,0.9 ,6.2 ,-2.3 ,
RDT&E  .....................................................................................................,, ,,1.1 ,20.7 ,109.3 ,45.5 ,16.6 ,2.6 ,10.4 ,24.4 ,17.1 ,-5.6 ,20.6 ,4.8 ,14.1 ,-1.5 ,10.8 ,-0.6 ,-10.6 ,3.4 ,1.5 ,-2.5 ,2.4 ,-8.9 ,-8.6 ,0.9 ,-1.1 ,-7.1 ,-4.5 ,-0.3 ,5.6 ,0.0 ,-3.6 ,0.0 ,13.8 ,14.7 ,9.2 ,13.7 ,10.3 ,6.6 ,3.3 ,-0.8 ,-2.8 ,-7.5 ,-6.1 ,6.2 ,-1.9 ,-10.2 ,-2.2 ,0.1 ,2.4 ,0.7 ,1.2 ,-0.2 ,6.0 ,14.7 ,17.6 ,7.6 ,4.6 ,2.1 ,4.3 ,0.4 ,0.1 ,-1.4 ,-7.3 ,-5.6 ,-12.9 ,-2.6 ,-0.3 ,8.5 ,3.9 ,20.7 ,2.5 ,7.7 ,-2.0 ,8.3 ,6.6 ,1.3 ,-3.6 ,-4.4 ,-1.8 ,
Military Construction  .............................................................................................,, ,,8.2 ,8.2 ,507.1 ,28.4 ,6.4 ,-37.2 ,51.7 ,-12.1 ,-3.8 ,-19.8 ,6.0 ,-22.9 ,-17.8 ,-18.9 ,35.2 ,-25.3 ,4.3 ,128.0 ,-53.9 ,21.7 ,-29.4 ,-15.1 ,8.2 ,-3.7 ,9.6 ,6.5 ,-9.2 ,10.1 ,0.9 ,-21.5 ,25.6 ,-15.2 ,42.5 ,36.7 ,-15.2 ,9.0 ,11.1 ,-9.2 ,-2.4 ,1.3 ,0.5 ,-11.6 ,3.6 ,-11.2 ,-23.0 ,61.7 ,-10.8 ,23.2 ,-19.2 ,-9.9 ,-7.4 ,3.3 ,-4.0 ,24.9 ,-4.6 ,-3.9 ,9.6 ,31.7 ,43.7 ,53.6 ,17.3 ,-13.6 ,-28.4 ,-26.5 ,-19.7 ,-7.5 ,-34.8 ,14.9 ,-1.6 ,37.4 ,6.0 ,41.6 ,-56.4 ,75.8 ,-26.0 ,40.4 ,-15.7 ,-10.3 ,-10.3 ,
,Total Real Growth  ..............................................................., ,,6.8 ,0.7 ,140.5 ,30.6 ,-18.6 ,-24.5 ,2.4 ,4.5 ,1.6 ,-0.1 ,-1.3 ,-5.2 ,6.9 ,7.5 ,-0.1 ,-2.7 ,-2.5 ,18.2 ,7.6 ,1.1 ,-0.7 ,-8.3 ,-9.2 ,-4.0 ,-5.2 ,-5.0 ,-3.1 ,1.1 ,5.1 ,-0.4 ,-0.5 ,1.8 ,10.3 ,10.4 ,6.7 ,4.6 ,4.5 ,-1.6 ,-1.2 ,-1.8 ,-2.2 ,-2.7 ,1.3 ,-9.4 ,-5.8 ,-8.5 ,-1.0 ,-2.0 ,-2.5 ,-1.1 ,2.7 ,2.5 ,6.7 ,9.3 ,18.1 ,2.2 ,5.7 ,3.4 ,9.7 ,7.7 ,-2.1 ,1.6 ,-2.3 ,-6.9 ,-11.7 ,-1.9 ,-3.8 ,2.9 ,1.5 ,8.0 ,0.7 ,2.2 ,-4.5 ,3.6 ,-0.9 ,1.4 ,-1.2 ,-0.6 ,-1.4 ,
