"Fiscal_Year","SimpleArea","type","Action_Obligation_OMB23_GDP21","Action_Obligation_OMB23_GDP21.lagged","amount_change","Action_Obligation_OMB23_GDP21.2000","baseline_change","amount_percent_change","baseline_percent_change",".group"
1995,"Products","Topline",83341100081.179,88965525502.9568,-5624425421.77774,91610335098.9792,-8276374101.73763,-0.0632202798778591,-0.0903432357582311,15
1995,"R&D","Topline",36013971129.0043,36894358472.4661,-880387343.461738,29170270778.6203,6843700350.38406,-0.0238623838416587,0.234612163950154,16
1996,"Products","Topline",85732580086.0115,83341100081.179,2391480004.83241,91610335098.9792,-5877906124.96438,0.0286950856480532,-0.0641620415274508,17
1996,"R&D","Topline",32912896851.2576,36013971129.0043,-3101074277.74677,29170270778.6203,3742626072.63728,-0.0861075349518809,0.128302753890799,18
1997,"Products","Topline",79287986560.122,85732580086.0115,-6447333186.68529,91610962290.8668,-12323859266.6211,-0.0752028363105016,-0.134523849094528,19
1997,"R&D","Topline",31273870262.3174,32912896851.2576,-1639026588.94019,29170270778.6203,2103599483.69709,-0.0497989161011078,0.0721144997131423,20
1998,"Products","Topline",76747210233.5666,79287986560.122,-2540776326.55547,91610962290.8668,-14865181376.9339,-0.0320449091569359,-0.162264220407779,21
1998,"R&D","Topline",31561941018.7049,31273870262.3174,288070756.387524,29170270778.6203,2391670240.08462,0.00921122822251481,0.0819899910506673,22
1999,"Products","Topline",81677021038.8675,76747210233.5666,4929810805.30091,91610962290.8668,-9934671656.20919,0.0642343974497301,-0.108444136026717,23
1999,"R&D","Topline",30021048732.8342,31561941018.7049,-1540892285.87069,29170270778.6203,850777954.213932,-0.0488212142896247,0.0291659258383536,24
2000,"Products","Engines",5313394394.47083,0,0,5313394394.47083,0,NA,0,25
2000,"Products","Topline",91610962290.8668,81676290634.6576,9934671656.20919,91610962290.8668,0,0.12163470670635,0,25
2000,"R&D","Engines",787820642.369625,0,0,787820642.369625,0,NA,0,26
2000,"R&D","Topline",29170270778.6203,30021048732.8342,-850777954.213932,29170270778.6203,0,-0.0283393815381083,0,26
2001,"Products","Engines",5829844858.88957,5313394394.47083,515138637.693426,5313394394.47083,515138637.693426,0.0969509506445604,0.0969509506445604,27
2001,"Products","Topline",97414568602.2465,91610962290.8668,5803210538.96258,91610962290.8668,5803210538.96258,0.063346245840506,0.063346245840506,27
2001,"R&D","Engines",1084037899.22836,787820642.369625,296217256.858734,787820642.369625,296217256.858734,0.375995805298736,0.375995805298736,28
2001,"R&D","Topline",30936358277.0805,29170270778.6203,1766087498.46018,29170270778.6203,1766087498.46018,0.0605440899696617,0.0605440899696617,28
2002,"Products","Engines",6184663729.10198,5829844858.88957,354818870.212406,5313394394.47083,869043877.347905,0.0608624892772857,0.163557193919623,29
2002,"Products","Topline",113339595371.496,97414568602.2465,15925026769.2494,91610962290.8668,21728488595.1756,0.163476849487194,0.237182189247038,29
2002,"R&D","Engines",1952748513.32119,1084037899.22836,868710614.092834,787820642.369625,1164927870.95157,0.801365537783504,1.4786714237998,30
2002,"R&D","Topline",36047949019.3497,30936358277.0805,5111590742.26922,29170270778.6203,6877678240.7294,0.165229232752201,0.235776976255231,30
2003,"Products","Engines",8165583268.34956,6184663729.10198,1980919539.24758,5313394394.47083,2851669403.40316,0.320295431734849,0.536694472815839,31
2003,"Products","Topline",135957344176.704,113339450886.042,22617893290.6617,91610962290.8668,44346381885.8373,0.199558874812292,0.484072874870985,31
2003,"R&D","Engines",2031802009.6243,1952748513.32119,79053496.3031072,787820642.369625,1243981367.25468,0.0404831936953595,1.57901595915664,32
2003,"R&D","Topline",40538409677.3821,36047949019.3497,4490460658.03242,29170270778.6203,11368138898.7618,0.124569102547888,0.389716605136688,32
2004,"Products","Engines",6703076853.78986,8165583268.34956,-1462506414.5597,5313394394.47083,1387754732.06233,-0.179106178517399,0.261180448698941,33
2004,"Products","Topline",144933584300.959,135957344176.704,8975385795.42204,91610962290.8668,53321767681.2594,0.066016189487761,0.582045710992115,33
