"Fiscal_Year","SubCustomer","type","Action_Obligation_OMB23_GDP21","Action_Obligation_OMB23_GDP21.lagged","amount_change","Action_Obligation_OMB23_GDP21.2000","baseline_change","amount_percent_change","baseline_percent_change"
2019,"Air Force","Engines",1174534182.34397,913511599.439551,261022582.90442,3341073252.78117,-2166539070.4372,0.285735378800401,-0.648456021918625
2019,"Air Force","Topline",79428090492.7776,76027642236.4893,3400448256.28834,58352469213.8231,21075621278.9545,0.0447264725862602,0.361177882665536
2019,"Army","Engines",521004840.39169,1231475332.61709,-856049884.855736,1032405549.59342,-511400709.201729,-0.695141723250346,-0.495348663519998
2019,"Army","Topline",99635836665.9137,97573479765.3102,2062356900.60346,56620882464.0461,43014954201.8676,0.0211364492233337,0.75970123265355
2019,"DLA","Engines",2071012104.81782,1565482695.06279,505529409.75503,579516667.894779,1491495436.92304,0.322922387675933,2.57368859180741
2019,"DLA","Topline",46279480433.3302,48460626000.0126,-2181145566.68234,14727836081.5909,31551644351.7393,-0.0450086131095742,2.14231365537653
2019,"Navy","Engines",2820329727.39636,3717734830.15588,-897405102.759519,1263872297.94853,1556457429.44783,-0.241384914136518,1.23149896708253
2019,"Navy","Topline",127757724527.003,115355414036.523,12402310490.4794,62222771030.4979,65534953496.5048,0.107513900358007,1.05323103441316
2020,"Air Force","Engines",1632135819.94901,1174534182.34397,457601637.605037,3341073252.78117,-1708937432.83216,0.389602656511724,-0.511493554177422
2020,"Air Force","Topline",79863571714.8749,79428090492.7776,435481222.097292,58352469213.8231,21511102501.0518,0.00548271045414204,0.368640826872773
2020,"Army","Engines",1001850738.25877,521095286.883375,480755451.3754,1031537333.21069,-29686594.9519106,0.922586451032317,-0.0287789825885509
2020,"Army","Topline",103238609026.43,99635348780.9058,3603260245.52403,56578959074.0043,46659649952.4255,0.036164476660261,0.824682014587711
2020,"DLA","Engines",1870243074.18184,2071012104.81782,-203415570.415533,579516667.894779,1288079866.5075,-0.0982203676851166,2.22267958432798
2020,"DLA","Topline",42954574473.6025,46279480433.3302,-3324905959.72773,14727836081.5909,28226738392.0116,-0.0718440641207621,1.91655707163211
2020,"Navy","Engines",3481976413.37795,2820329727.39636,661646685.981586,1263872297.94853,2218104115.42942,0.234599053988059,1.75500651373542
2020,"Navy","Topline",153908588277.233,127757724527.003,26150863750.2305,62222771030.4979,91685817246.7354,0.204691057601792,1.47350906634802
2021,"Air Force","Engines",1271468046.3519,1632135819.94901,-360667773.597108,3341073252.78117,-2069605206.42927,-0.220979019753623,-0.619443229718622
2021,"Air Force","Topline",79052093687.0265,79863571714.8749,-811478027.848425,58352469213.8231,20699624473.2034,-0.0101608031099025,0.354734336902745
2021,"Army","Engines",472445108.2257,1001850738.25877,-529405630.033075,1031537333.21069,-559092224.984985,-0.528427648766508,-0.541999021251899
2021,"Army","Topline",109889443387.356,103238609026.43,6650458044.92656,56620882464.0461,53268560923.3103,0.064418322831374,0.940793548336791
2021,"DLA","Engines",1077247615.7532,1870243074.18184,-792995458.428642,579516667.894779,496382751.858421,-0.424006627467687,0.856546117407874
2021,"DLA","Topline",39146132924.9408,42954574473.6025,-3808441548.66168,14727836081.5909,24418296843.3499,-0.0886620713936332,1.65796908032346
2021,"Navy","Engines",2398520095.612,3481976413.37795,-1083456317.76595,1263872297.94853,1134647797.66347,-0.311161302989661,0.897755097176507
2021,"Navy","Topline",111655976694.975,153908588277.233,-42252611582.2579,62222771030.4979,49433205664.4775,-0.274530564247324,0.794455226692624
