"Fiscal_Year","SubCustomer","type","Action_Obligation_OMB23_GDP21","Action_Obligation_OMB23_GDP21.lagged","amount_change","Action_Obligation_OMB23_GDP21.2000","baseline_change","amount_percent_change","baseline_percent_change"
1993,"Navy","Topline",65701276061.4407,73547955370.1389,-7846679308.69817,62222736525.2979,3478539536.14285,-0.106687932644882,0.055904637603468
1994,"Air Force","Topline",75221428955.7847,69338850056.0757,5882578899.70898,58352469213.8231,16868959741.9616,0.0848381375657603,0.289087333736436
1994,"Army","Topline",35626218255.9614,53881955000.0699,-18255736744.1085,56578959074.0043,-20952740818.0429,-0.338809843556805,-0.370327435516038
1994,"DLA","Topline",11544378472.7164,13929341760.8521,-2384963288.1357,14727836081.5909,-3183457608.8745,-0.171218664103608,-0.216152433476203
1994,"Navy","Topline",69308943050.0456,65701276061.4407,3607666988.6049,62222736525.2979,7086206524.74775,0.0549101509874966,0.113884520682672
1995,"Air Force","Topline",62183881883.2014,75221428955.7847,-13037547072.5834,58352469213.8231,3831412669.37823,-0.173322246779529,0.0656598207582038
1995,"Army","Topline",49465412698.4733,35626218255.9614,13839194442.5118,56578959074.0043,-7113546375.53104,0.388455332055799,-0.125727770392994
1995,"DLA","Topline",11129560233.1077,11544378472.7164,-414818239.608699,14727836081.5909,-3598275848.4832,-0.0359324878848235,-0.244318026663868
1995,"Navy","Topline",64791558027.7176,69308943050.0456,-4517385022.328,62222736525.2979,2568821502.41975,-0.0651775200072832,0.0412842900500744
1996,"Air Force","Topline",64194329475.8386,62183881883.2014,2010447592.63726,58352469213.8231,5841860262.01549,0.0323306865340674,0.100113334375088
1996,"Army","Topline",52008113886.0271,49465412698.4733,2542701187.55381,56578959074.0043,-4570845187.97723,0.0514036181817259,-0.0807870145153897
1996,"DLA","Topline",11868148782.4908,11129560233.1077,738588549.383148,14727836081.5909,-2859687299.10005,0.0663627792934737,-0.194168870651305
1996,"Navy","Topline",58266542041.5935,64791558027.7176,-6525015986.12407,62222736525.2979,-3956194483.70431,-0.100707811090647,-0.0635811715239468
1997,"Air Force","Topline",56222262899.7964,64194329475.8386,-7972066576.0422,58352469213.8231,-2130206314.0267,-0.124186460722247,-0.0365058470143039
1997,"Army","Topline",50177166777.0006,52008113886.0271,-1830947109.0265,56578959074.0043,-6401792297.00373,-0.0352050280661767,-0.11314793346817
1997,"DLA","Topline",12805240550.0806,11868148782.4908,937091767.589738,14727836081.5909,-1922595531.51031,0.0789585456640243,-0.130541616627134
1997,"Navy","Topline",58430724769.4356,58266542041.5935,164182727.842049,62222736525.2979,-3792011755.86227,0.00281778739717979,-0.0609425423505851
1998,"Air Force","Topline",53699036391.454,56222262899.7964,-2523226508.34247,58352469213.8231,-4653432822.36918,-0.0448794904047096,-0.0797469736082192
1998,"Army","Topline",49606230588.2409,50177166777.0006,-570936188.759722,56578959074.0043,-6972728485.76345,-0.0113784062638909,-0.12323889657714
1998,"DLA","Topline",11639668438.655,12805240550.0806,-1165572111.42561,14727836081.5909,-3088167642.93592,-0.0910230547303753,-0.209682374642666
1998,"Navy","Topline",60494273386.1971,58430724769.4356,2063548616.76154,62222736525.2979,-1728463139.10072,0.0353161564383155,-0.0277786422716716
1999,"Air Force","Topline",55572186450.6252,53699036391.454,1873150059.1712,58352469213.8231,-2780282763.19798,0.0348823775070442,-0.0476463601396212
1999,"Army","Topline",53248877399.5333,49606230588.2409,3642646811.29242,56578959074.0043,-3330081674.47102,0.0734312357156988,-0.0588572453253397
