"","fydp_year","account","organization","program_number","program_name","project_number","project_name","fy","amount","amount_18","stage"
"767","2006 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Componenet Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2008,155692000,180.782273755521,"Operational Systems Development"
"768","2006 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft","652","AV-8B",2008,12703000,14.7501298943837,"System Development & Demonstration"
"769","2006 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2008,58065000,67.4223641909303,"Operational Systems Development"
"770","2006 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2008,2240000,2.60098330814921,"Basic Research"
"771","2006 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2008,4247000,4.9314179061204,"Applied Research"
"772","2006 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2008,8460000,9.82335660131354,"Advanced Technology Development"
"773","2006 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2008,8454000,9.81638968173814,"Operational Systems Development"
"774","2006 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",2009,45328000,52.0274784022466,"Applied Research"
"775","2006 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",2009,18184000,20.8715952009012,"Advanced Technology Development"
"776","2006 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",2009,22654000,26.0022612011228,"Applied Research"
"777","2006 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",2009,13553000,15.5561334006717,"Applied Research"
"778","2006 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",2009,35948000,41.2611144017817,"Applied Research"
"779","2006 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",2009,5156000,5.91805680025554,"Advanced Technology Development"
"780","2006 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","4921","Aircraft Propulsion Subsystems Int",2009,26841000,30.8080998013303,"Advanced Technology Development"
"781","2006 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",2009,27706000,31.8009468013732,"Advanced Technology Development"
"782","2006 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Componenet Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2009,158632000,182.077809607862,"Operational Systems Development"
"783","2006 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft","652","AV-8B",2009,16535000,18.9788730008195,"System Development & Demonstration"
"784","2006 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2009,58744000,67.4263632029115,"Operational Systems Development"
"785","2006 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2009,2232000,2.56188960011062,"Basic Research"
"786","2006 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2009,4289000,4.92291420021257,"Applied Research"
"787","2006 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2009,8585000,9.85386300042549,"Advanced Technology Development"
"788","2006 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2009,9303000,10.6779834004611,"Operational Systems Development"
"789","2006 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",2010,45561000,51.8387349296837,"Applied Research"
"790","2006 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",2010,18528000,21.0809262478255,"Advanced Technology Development"
"791","2006 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",2010,23038000,26.2123477384178,"Applied Research"
"792","2006 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",2010,13674000,15.5581058674852,"Applied Research"
"793","2006 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",2010,36398000,41.4131883402609,"Applied Research"
"794","2006 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",2010,5262000,5.98703766818102,"Advanced Technology Development"
"795","2006 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","4921","Aircraft Propulsion Subsystems Int",2010,27408000,31.1844789831823,"Advanced Technology Development"
"796","2006 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",2010,28287000,32.1845941694862,"Advanced Technology Development"
"797","2006 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Componenet Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2010,162996000,185.454806492367,"Operational Systems Development"
"798","2006 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft","652","AV-8B",2010,12621000,14.3600156613669,"System Development & Demonstration"
"799","2006 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2010,58725000,66.816569187368,"Operational Systems Development"
"800","2006 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2010,2251000,2.56115959541533,"Basic Research"
"801","2006 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2010,4323000,4.91865523366525,"Applied Research"
"802","2006 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2010,9759000,11.1036679216607,"Advanced Technology Development"
"803","2006 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2010,10756000,12.2380420294479,"Operational Systems Development"
"804","2006 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",2011,45757000,51.024856307291,"Applied Research"
"805","2006 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",2011,18839000,21.0078735051043,"Advanced Technology Development"
"806","2006 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",2011,23392000,26.0850457578109,"Applied Research"
"807","2006 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",2011,13774000,15.35975633841,"Applied Research"
"808","2006 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",2011,36806000,41.0433564535733,"Applied Research"
"809","2006 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",2011,5358000,5.97484931473797,"Advanced Technology Development"
"810","2006 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","4921","Aircraft Propulsion Subsystems Int",2011,27918000,31.1321095873189,"Advanced Technology Development"
"811","2006 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",2011,28812000,32.129032933227,"Advanced Technology Development"
"812","2006 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Componenet Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2011,167425000,186.700102000747,"Operational Systems Development"
"813","2006 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft","652","AV-8B",2011,12376000,13.8008090927953,"System Development & Demonstration"
"814","2006 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2011,60113000,67.0336164346479,"Operational Systems Development"
"815","2006 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2011,2267000,2.52799242189455,"Basic Research"
"816","2006 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2011,4353000,4.85414689568018,"Applied Research"
"817","2006 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2011,10122000,11.2873133191075,"Advanced Technology Development"
"818","2006 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2011,10674000,11.9028633045004,"Operational Systems Development"
"819","2007 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2005,7117000,8.94632855132856,"Operational Systems Development"
"820","2007 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2005,50431000,63.3936061784531,"Operational Systems Development"
"821","2007 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2005,141803000,178.251542442608,"Operational Systems Development"
"822","2007 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2005,2040000,2.56435439717722,"Basic Research"
"823","2007 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",2005,16524000,20.7712706171355,"Advanced Technology Development"
"824","2007 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",2005,71274000,89.5940173060829,"Applied Research"
"825","2007 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",2005,12140000,15.2604227361429,"Applied Research"
"826","2007 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",2005,15577000,19.5808570807988,"Applied Research"
"827","2007 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",2005,33769000,42.4488645285674,"Applied Research"
"828","2007 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2005,3904000,4.90747037577444,"Applied Research"
"829","2007 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2005,6873000,8.63961165284266,"Advanced Technology Development"
"830","2007 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",2005,21834000,27.4461342686115,"Advanced Technology Development"
"831","2007 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",2005,345000,0.433677581875559,"Advanced Technology Development"
"832","2007 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","4921","Aircraft Propulsion Subsystems Int",2005,21026000,26.4304488014942,"Advanced Technology Development"
"833","2007 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Eng Dev","0652/9546","AV-8B",2005,19335000,24.3048001320694,"System Development & Demonstration"
"834","2007 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2006,2036000,2.47870258804405,"Operational Systems Development"
"835","2007 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2006,67778000,82.5154734835215,"Operational Systems Development"
"836","2007 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2006,151082000,183.93288035701,"Operational Systems Development"
"837","2007 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2006,1996000,2.4300050912259,"Basic Research"
"838","2007 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",2006,21729000,26.4536977090418,"Advanced Technology Development"
"839","2007 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",2006,74572000,90.786743318085,"Applied Research"
"840","2007 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",2006,19593000,23.8532513789524,"Applied Research"
"841","2007 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",2006,18997000,23.1276586763619,"Applied Research"
"842","2007 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",2006,36862000,44.8771781927701,"Applied Research"
"843","2007 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2006,3999000,4.86853224439497,"Applied Research"
"844","2007 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2006,7544000,9.18434789990389,"Advanced Technology Development"
"845","2007 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",2006,24422000,29.7322566823241,"Advanced Technology Development"
"846","2007 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",2006,193000,0.234965422147594,"Advanced Technology Development"
"847","2007 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","4921","Aircraft Propulsion Subsystems Int",2006,32953000,40.1182153162159,"Advanced Technology Development"
"848","2007 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Eng Dev","0652/9546","AV-8B",2006,15322000,18.653576156194,"System Development & Demonstration"
"849","2007 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2007,860000,1.01931846345016,"Operational Systems Development"
"850","2007 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2007,58684000,69.5554473361736,"Operational Systems Development"
"851","2007 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2007,154319000,182.907216233913,"Operational Systems Development"
"852","2007 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2007,2056000,2.43688228006225,"Basic Research"
"853","2007 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",2007,18347000,21.7458556382792,"Advanced Technology Development"
"854","2007 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",2007,45264000,53.649338290242,"Applied Research"
"855","2007 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",2007,25038000,29.6763903347269,"Applied Research"
"856","2007 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",2007,17292000,20.4954126395119,"Applied Research"
"857","2007 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",2007,33529000,39.7403822802564,"Applied Research"
"858","2007 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2007,4332000,5.13452044612338,"Applied Research"
"859","2007 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2007,8377000,9.92887298642094,"Advanced Technology Development"
"860","2007 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",2007,25828000,30.6127410162684,"Advanced Technology Development"
"861","2007 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",2007,2868000,3.39930855020356,"Advanced Technology Development"
"862","2007 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","4921","Aircraft Propulsion Subsystems Int",2007,14334000,16.9894312268542,"Advanced Technology Development"
"863","2007 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Eng Dev","0652/9546","AV-8B",2007,13878000,16.4489553904202,"System Development & Demonstration"
"864","2007 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2008,479000,0.556192412769407,"Operational Systems Development"
"865","2007 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2008,53933000,62.6244789100051,"Operational Systems Development"
"866","2007 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2008,157816000,183.248563285212,"Operational Systems Development"
"867","2007 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2008,2236000,2.59633869509895,"Basic Research"
"868","2007 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",2008,18058000,20.9681056154279,"Advanced Technology Development"
"869","2007 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",2008,47907000,55.6273693497787,"Applied Research"
"870","2007 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",2008,22601000,26.243224887268,"Applied Research"
"871","2007 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",2008,13029000,15.1286658579804,"Applied Research"
"872","2007 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",2008,34433000,39.9819902899562,"Applied Research"
"873","2007 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2008,4207000,4.88497177561774,"Applied Research"
"874","2007 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2008,8573000,9.95456691998357,"Advanced Technology Development"
"875","2007 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",2008,25927000,30.1052206385646,"Advanced Technology Development"
"876","2007 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",2008,4811000,5.58630834620797,"Advanced Technology Development"
"877","2007 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","4921","Aircraft Propulsion Subsystems Int",2008,25149000,29.2018434002877,"Advanced Technology Development"
"878","2007 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Eng Dev","0652/9546","AV-8B",2008,12643000,14.6804606986297,"System Development & Demonstration"
"879","2007 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2009,331000,0.379921800016405,"Operational Systems Development"
"880","2007 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2009,54602000,62.6721756027062,"Operational Systems Development"
"881","2007 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2009,161304000,185.144731207995,"Operational Systems Development"
"882","2007 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2009,2230000,2.55959400011052,"Basic Research"
"883","2007 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",2009,18477000,21.2079006009158,"Advanced Technology Development"
"884","2007 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",2009,45656000,52.4039568022628,"Applied Research"
"885","2007 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",2009,23046000,26.4521988011422,"Applied Research"
"886","2007 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",2009,13797000,15.8361966006838,"Applied Research"
"887","2007 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",2009,36593000,42.0014454018136,"Applied Research"
"888","2007 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2009,4250000,4.87815000021064,"Applied Research"
"889","2007 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2009,8703000,9.98930340043134,"Advanced Technology Development"
"890","2007 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",2009,28139000,32.2979442013946,"Advanced Technology Development"
"891","2007 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",2009,5237000,6.01102860025956,"Advanced Technology Development"
"892","2007 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","4921","Aircraft Propulsion Subsystems Int",2009,27261000,31.2901758013511,"Advanced Technology Development"
"893","2007 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Eng Dev","0652/9546","AV-8B",2009,16451000,18.8824578008153,"System Development & Demonstration"
"894","2007 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2010,8e+05,0.91022997615827,"Operational Systems Development"
"895","2007 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2010,54432000,61.9320475778087,"Operational Systems Development"
"896","2007 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2010,166129000,189.019494636497,"Operational Systems Development"
"897","2007 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2010,2252000,2.56229738288553,"Basic Research"
"898","2007 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",2010,18821000,21.4142979765935,"Advanced Technology Development"
"899","2007 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",2010,46006000,52.3450503539217,"Applied Research"
"900","2007 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",2010,23430000,26.6583604267353,"Applied Research"
"901","2007 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",2010,13957000,15.8800997215512,"Applied Research"
"902","2007 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",2010,37083000,42.1925727573464,"Applied Research"
"903","2007 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2010,4287000,4.87769488473813,"Applied Research"
"904","2007 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2010,9893000,11.2561314426672,"Advanced Technology Development"
"905","2007 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",2010,28721000,32.6783939315521,"Advanced Technology Development"
"906","2007 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",2010,5344000,6.08033624073724,"Advanced Technology Development"
"907","2007 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","4921","Aircraft Propulsion Subsystems Int",2010,27828000,31.6623497206654,"Advanced Technology Development"
"908","2007 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Eng Dev","0652/9546","AV-8B",2010,12407000,14.1165291427446,"System Development & Demonstration"
"909","2007 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2011,722000,0.8051215388654,"Operational Systems Development"
"910","2007 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2011,55744000,62.1616275104056,"Operational Systems Development"
"911","2007 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2011,171265000,190.982188855655,"Operational Systems Development"
"912","2007 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2011,2270000,2.53133780224994,"Basic Research"
"913","2007 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",2011,19140000,21.343526667429,"Advanced Technology Development"
"914","2007 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",2011,46260000,51.5857650802125,"Applied Research"
"915","2007 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",2011,23795000,26.5344418522191,"Applied Research"
"916","2007 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",2011,14079000,15.6998700078753,"Applied Research"
"917","2007 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",2011,37517000,41.8362115978022,"Applied Research"
"918","2007 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2011,4319000,4.81623258498568,"Applied Research"
"919","2007 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2011,10262000,11.443431069026,"Advanced Technology Development"
"920","2007 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",2011,29259000,32.6274946061811,"Advanced Technology Development"
"921","2007 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",2011,5442000,6.06851996468907,"Advanced Technology Development"
"922","2007 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","4921","Aircraft Propulsion Subsystems Int",2011,28350000,31.613844358496,"Advanced Technology Development"
"923","2007 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Eng Dev","0652/9546","AV-8B",2011,12103000,13.4963794804542,"System Development & Demonstration"
"924","2008 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",2006,73687000,89.7093112009833,"Applied Research"
"925","2008 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",2006,21276000,25.9021985575762,"Advanced Technology Development"
"926","2008 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",2006,19272000,23.4624539669867,"Applied Research"
"927","2008 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",2006,20723000,25.2289556640653,"Applied Research"
"928","2008 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",2006,33107000,40.3057006789658,"Applied Research"
"929","2008 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",2006,5187000,6.31484789989415,"Advanced Technology Development"
"930","2008 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","4921","Aircraft Propulsion Subsystems Int",2006,31996000,38.9531277048416,"Advanced Technology Development"
"931","2008 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",2006,23427000,28.5209064489725,"Advanced Technology Development"
"932","2008 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2006,146527000,178.387452906842,"Operational Systems Development"
"933","2008 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Eng Dev","652","AV-8B",2006,19517000,23.7607261349979,"System Development & Demonstration"
"934","2008 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2006,65823000,80.1353833265342,"Operational Systems Development"
"935","2008 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2006,1996000,2.4300050912259,"Basic Research"
